# sub	sup	accept|reject	reason	sub_wn	sup_wn
# proposed by Claude 2026-09-02, pending Peter: WordNet hangs these from `abstraction`, which core has no node for
harmonic-progression	concept	accept	same	08461424	05835747
probability	statistic	accept	a measure of likelihood is a statistic; core left `probability` unplaced	05091770	06021499
# proposed by Claude: the skeleton's own roots
algebraic-structure	concept	accept	a set with operations; the root of the algebra lattice		05835747
binary-relation	mathematical-relation	accept	a relation between two things is a mathematical relation		13783581
# proposed by Claude: structure roots and the edges the pull did not carry
mathematical-structure	concept	accept	a set with extra structure		05835747
algebraic-structure	mathematical-structure	accept	operations on a set		
partially-ordered-set	mathematical-structure	accept	an order on a set		
topological-space	mathematical-structure	accept	a topology on a set		
natural-number	integer	accept	the non-negative integers		
empty-set	finite-set	accept	the set with no elements		
mathematical-graph	mathematical-structure	accept	vertices and edges: a combinatorial structure		
# proposed by Claude: the last skeleton items, whose Wikidata parents lie outside the pull
axiom	proposition	accept	a statement taken as true		06750804
conjecture	proposition	accept	a proposition whose truth is unknown		06750804
prime-number	natural-number	accept	a positive integer with two divisors		
composite-number	natural-number	accept	a positive integer with a proper divisor		
power-set	mathematical-set	accept	the set of all subsets		07999699
isomorphism	homomorphism	accept	an invertible homomorphism		
geometric-shape	shape	accept	Wikidata's geometric shape is core's shape		00027807
tree-graph	mathematical-graph	accept	a connected acyclic graph		
scalar	number	accept	a single field element		05121418
euclidean-vector	concept	accept	a geometric object with magnitude and direction		05835747
tensor	concept	accept	a multilinear map		05835747
mathematical-field	subset	reject	WordNet's field ⊑ set chain; a field is filed as a ring, not as a subset	08005260	08001209
# proposed by Claude 2026-09-03: graph theory placements Wikidata's pull did not carry
acyclic-graph	undirected-graph	accept	a graph without cycles		
multigraph	mathematical-graph	accept	a graph allowing parallel edges		
weighted-graph	mathematical-graph	accept	a graph with edge weights		
matrix	mathematical-structure	accept	an array of expressions; core left `matrix` unplaced	08267640	
adjacency-matrix	matrix	accept	the matrix of a graph		08267640
graph-vertex	concept	accept	a node of a graph		05835747
graph-path	subgraph	accept	a path is a subgraph		
graph-cycle	subgraph	accept	a cycle is a subgraph — what loopmarket settles		
eulerian-path	graph-path	accept			
hamiltonian-path	graph-path	accept			
graph-clique	induced-subgraph	accept	a complete induced subgraph		
graph-matching	subgraph	accept	a set of disjoint edges		
hasse-diagram	diagram	accept	the drawing of a poset's transitive reduction		03186399
reachability	binary-relation	accept	whether one vertex reaches another		
topological-ordering	total-order	accept	a linear extension of a DAG's order — what OntoDAG's topological_sort produces		
transitive-reduction	mathematical-operation	accept	the minimal graph with the same reachability — OntoDAG's canonical form		00869583
transitive-closure	mathematical-operation	accept	the reachability relation as an operation		00869583
shortest-path	graph-path	accept	the shortest path between two vertices (Wikidata's item is the problem)		
graph-colouring	concept	accept	an assignment of colours to vertices		05835747
# proposed by Claude 2026-09-03: mathematical logic placements
logical-operation	mathematical-operation	accept	an operation on truth values	13509042	00869583
logical-connective	logical-operation	accept	AND, OR, NOT, IF-THEN		13509042
quantifier	logical-operation	accept	for all, there exists	06302542	13509042
logical-conjunction	logical-connective	accept			
logical-disjunction	logical-connective	accept			
logical-negation	logical-connective	accept		06751572	
material-implication	logical-connective	accept			
universal-quantifier	quantifier	accept			06302542
existential-quantifier	quantifier	accept			06302542
logical-relation	mathematical-relation	accept	a relation between propositions	13783038	13783581
logical-consequence	logical-relation	accept	entailment		13783038
subsumption	logical-relation	accept	the ⊑ of description logic — what OntoDAG computes		13783038
mathematical-logic	logic	accept	the mathematical study of formal reasoning		06163751
mathematical-logic	mathematics	accept			06000644
propositional-logic	mathematical-logic	accept			
first-order-logic	mathematical-logic	accept			
modal-logic	mathematical-logic	accept			
description-logic	mathematical-logic	accept	the family OntoDAG's contract sits under		
classical-logic	mathematical-logic	accept			
fuzzy-logic	mathematical-logic	accept			
intuitionistic-logic	mathematical-logic	accept			
model-theory	mathematical-logic	accept			
proof-theory	mathematical-logic	accept			
computability-theory	mathematical-logic	accept			
type-theory	mathematical-logic	accept			
formal-system	concept	accept	axioms plus inference rules		05835747
lambda-calculus	formal-system	accept			
turing-machine	concept	accept	an abstract model of computation		05835747
truth-value	concept	accept			05835747
truth-table	concept	accept			05835747
well-formed-formula	expression	accept			06731802
inference-rule	rule	accept	a rule licensing a conclusion from premises		05846054
deductive-reasoning	thinking	accept			05770926
inductive-reasoning	thinking	accept			05770926
syllogism	deductive-reasoning	accept			
non-sequitur	proposition	accept	a conclusion that does not follow	05781663	06750804
mathematical-induction	formal-proof	accept			06647614
godel-incompleteness-theorem	theorem	accept			06752293
decidability	attribute	accept	a property of theories		00024264
satisfiability	attribute	accept	a property of formulas		00024264
logical-soundness	attribute	accept	a property of proof systems		00024264
decision-problem	problem	accept	a yes/no question about inputs		06784003
arity	number	accept	the number of arguments	05857974	05121418
