# sub	sup	accept|reject	reason	sub_wn	sup_wn
# --- biology batch 1: wordnet  ---
megakaryocyte	bone-cell	accept		05448928	05447599
megalocyte	red-blood-cell	accept		05449661	05454070
melanoblast	epidermal-cell	accept		05241374	05241218
melanocyte	epidermal-cell	accept		05241485	05241218
meme	cognition	accept		05985126	00023271
mendel's-law	concept	accept		05884433	05835747
microcyte	red-blood-cell	accept		05454578	05454070
microgliacyte	neurogliacyte	accept		05468351	05467432
microphage	neutrophil	accept		05453815	05453657
monad	microorganism	accept		01326751	01326291
monoblast	monocyte	accept		05453412	05453267
monocyte	leukocyte	accept		05453267	05449959
mother-cell	cell	accept		11688750	00006484
motor-fiber	nerve-fiber	accept		05474976	05464104
motor-neuron	nerve-cell	accept		05466696	05465567
muscle-cell	fibre	accept		05459232	05229622
muscle-cell	somatic-cell	accept		05459232	05430628
myeloblast	leukocyte	accept		05448704	05449959
myelocyte	leukocyte	accept		05448597	05449959
naturalist	biologist	accept		10346514	09855630
neoplastic-cell	somatic-cell	accept		05431177	05430628
nerve-cell	somatic-cell	accept		05465567	05430628
nerve-fiber	fiber	accept		05464104	14866889
nerve-fiber	fibre	accept		05464104	05229622
neuroblast	embryonic-cell	accept		05448501	05447757
neurogliacyte	somatic-cell	accept		05467432	05430628
niche	condition	accept		13924336	13920835
nit	egg.animal	accept		01461146	01460457
oocyte	gametocyte	accept		05458576	05458412
oosphere	gamete	accept		11549391	05456945
ootid	ovum	accept		05458173	05457973
organic-phenomenon	natural-event	accept		11418750	11408559
organic-process	process	accept		13526110	00029677
origin	inheritance	accept		04923743	04922338
osmosis	process	accept		13528100	00029677
osteoblast	embryonic-cell	accept		05448149	05447757
ovule	ovum	accept		05458300	05457973
packed-cells	blood-cell	accept		05450370	05449268
pasture	biotic-community	reject	same	08616050	07941729
phagocyte	somatic-cell	accept		05450888	05430628
phloem	natural-object	accept		13098962	00019128
pitcher	leaf	accept		12780168	13152742
plasmablast	plasma-cell	accept		05453057	05452845
point-mutation	mutation	accept		07426406	07425011
pollen-tube	natural-object	accept		11680596	00019128
prickle-cell	skin-cell	accept		05241662	05241072
protoplasmic-astrocyte	astrocyte	accept		05468098	05467758
purkinje-cell	brain-cell	accept		05466244	05465868
recombinant	cell	accept		01313888	00006484
reversion.event	mutation	accept		07426573	07425011
rod	visual-cell	accept		05456456	05455912
roe.animal	spawn	accept		01461532	01461315
roe.animal.2	egg.animal	accept		02322624	01460457
saltation	mutation	accept		07426732	07425011
sensitiveness	sense	accept		05652926	05651971
sensory-fiber	nerve-fiber	accept		05475397	05464104
sensory-neuron	nerve-cell	accept		05466892	05465567
sickle-cell	red-blood-cell	accept		05454833	05454070
sideroblast	erythroblast	accept		05448827	05448257
siderocyte	red-blood-cell	accept		05454978	05454070
silkworm-seed	egg.animal	accept		01464766	01460457
skin-cell	somatic-cell	accept		05241072	05430628
smooth-muscle-cell	muscle-cell	accept		05460759	05459232
spawn	egg.animal	accept		01461315	01460457
spherocyte	red-blood-cell	accept		05455113	05454070
spike	natural-object	accept		13133438	00019128
spindle	fiber	accept		05605498	14866889
spongioblast	columnar-cell	accept		05242239	05242070
spore-mother-cell	mother-cell	accept		11688958	11688750
squamous-cell	epithelial-cell	accept		05242928	05241827
stem-cell	somatic-cell	accept		05607863	05430628
stimulation.process	process	accept		13561719	00029677
striated-muscle-cell	muscle-cell	accept		05459769	05459232
style.plant	natural-object	accept		11677259	00019128
succession	process	accept		13562862	00029677
t-cell	lymphocyte	accept		05451981	05451384
target-cell.body	somatic-cell	accept		05608206	05430628
taste-cell	epithelial-cell	accept		05305389	05241827
taxonomic-group	group	reject	a taxon is not a group of people	07992450	00031264
taxonomy	science	accept		06153186	05999797
theory-of-evolution	thinking	reject	a theory	06109227	05770926
theory-of-inheritance	thinking	reject	a theory	06109771	05770926
transformation	act	reject	a process, not anyone's act	00399030	00030358
transposition	mutation	accept		07425903	07425011
turgor	state	accept		14568762	00024720
# --- biology batch 2: wordnet  ---
decay	organic-phenomenon	accept		11444643	11418750
disease-vector	virus	reject	a vector may be a virus or another agent	01372038	01328702
food-chain	organic-phenomenon	accept		11455901	11418750
food-pyramid	organic-phenomenon	accept		11456083	11418750
food-web	organic-phenomenon	accept		11456273	11418750
genetic-dominance	organic-phenomenon	accept		11413800	11418750
genus	taxonomic-group	accept		08108972	07992450
monotype	taxonomic-group	accept		08109772	07992450
necrobiosis	organic-phenomenon	accept		11486178	11418750
phylum	taxonomic-group	accept		08102555	07992450
plantae	taxonomic-group	accept		11529603	07992450
pleomorphism	organic-phenomenon	accept		11491816	11418750
polymorphism	organic-phenomenon	accept		11492388	11418750
sense-of-touch	sensitiveness	accept		05655119	05652926
sight	sensitiveness	accept		05654362	05652926
single-nucleotide-polymorphism	biological-polymorphism	accept		11493452	11493266
smell	sensitiveness	accept		05658603	05652926
subclass	taxonomic-group	accept		08106661	07992450
subfamily	taxonomic-group	accept		08108627	07992450
subgenus	taxonomic-group	accept		08109624	07992450
subkingdom	taxonomic-group	accept		07940865	07992450
suborder	taxonomic-group	accept		08107191	07992450
subphylum	taxonomic-group	accept		08103299	07992450
superclass	taxonomic-group	accept		08106798	07992450
superfamily	taxonomic-group	accept		08108304	07992450
superorder	taxonomic-group	accept		08107343	07992450
superphylum	taxonomic-group	accept		08103457	07992450
taste	sensitiveness	accept		05658226	05652926
taxonomic-class	taxonomic-group	accept		08103777	07992450
taxonomic-family	taxonomic-group	accept		08107499	07992450
taxonomic-order	taxonomic-group	accept		08106934	07992450
translocation	organic-process	accept		13569464	13526110
tribe	taxonomic-group	accept		08108784	07992450
type	taxonomic-group	accept		08111419	07992450
uncus	curved-shape	accept		13869676	13867641
unit-character	heritable-character	accept		04617106	04616916
variant	taxonomic-group	accept		08111157	07992450
variety	taxonomic-group	accept		08101085	07992450
venation	group	reject	an arrangement of veins is not a group	08373244	00031264
vernation	group	reject	same	08373380	00031264
visual-cell	somatic-cell	accept		05455912	05430628
xx	sex-chromosome	reject	a chromosome complement is not a chromosome; dropped	05442789	05443651
xxx	sex-chromosome	reject	same	05442916	05443651
xxy	sex-chromosome	reject	same	05443050	05443651
xy	sex-chromosome	reject	same	05443211	05443651
xyy	sex-chromosome	reject	same	05443333	05443651
# --- biology batch 3: wordnet  ---
botanical-division	phylum	accept		08220891	08102555
dimorphism	polymorphism	accept		11492643	11492388
form-family	taxonomic-family	accept		08108450	08107499
form-genus	genus	accept		08110197	08108972
pan	genus	accept		02481629	08108972
type-genus	genus	accept		08109940	08108972
# --- biology batch 4: wordnet  ---
allele	gene	accept		05437785	05436752
botanical-fruit	plant-part	accept		13134947	13086908
corona	plant-part	accept		11691332	13086908
cosmid	disease-vector	accept		01372199	01372038
dna	compound	accept		14830364	14818238
dominant-gene	gene	accept		05437600	05436752
flower-lip	plant-part	accept		11691857	13086908
flower-style	plant-part	accept		11677259	13086908
genetic-marker	gene	accept		05438483	05436752
germ-tube	plant-part	accept		11680457	13086908
homeotic-gene	gene	accept		05438642	05436752
lethal-gene	gene	accept		05438956	05436752
ligule	plant-part	accept		13162164	13086908
linkage-group	gene	accept		05439100	05436752
lobe	plant-part	accept		13161506	13086908
modifier	gene	accept		05439286	05436752
mutant-gene	gene	accept		05439413	05436752
nonallele	gene	accept		05439942	05436752
operator-gene	gene	accept		05440046	05436752
phloem	plant-part	accept		13098962	13086908
plant-part	natural-object	reject	ruled under body-part instead	13086908	00019128
plant-root	plant-part	accept		13125117	13086908
pollen-tube	plant-part	accept		11680596	13086908
polygene	gene	accept		05440555	05436752
proto-oncogene	gene	accept		05440756	05436752
pulp	plant-part	accept		13096035	13086908
recessive-gene	gene	accept		05440875	05436752
regulatory-gene	gene	accept		05441053	05436752
repressor-gene	gene	accept		05441224	05436752
spike	plant-part	accept		13133438	13086908
structural-gene	gene	accept		05441338	05436752
suppressor	gene	accept		05441468	05436752
transgene	gene	accept		05441686	05436752
x-linked-gene	gene	accept		05441929	05436752
y-linked-gene	gene	accept		05442022	05436752
# --- biology batch 5: wordnet  ---
cystic-fibrosis-transport-regulator	mutant-gene	accept		05439810	05439413
dominant-allele	allele	accept		05438130	05437785
homeobox	homeotic-gene	accept		05438778	05438642
recessive-allele	allele	accept		05438315	05437785
tumor-suppressor-gene	suppressor	accept		05441806	05441468
# --- biology wikidata batch 1: wikidata  ---
apophysis	tissue	reject	a swelling is a shape, not a tissue	13088460	05267345
attention	organic-process	reject	mental faculty; Wikidata's sense	05650579	13526110
basophil	granulocyte	accept		05453523	05453145
blastema	organ	reject	undifferentiated cells are not an organ	05431402	05297523
blastomere	embryonic-cell	accept		01459664	05447757
cancer-cell	mutant	reject	a mutant is an organism	05431285	10341660
carrot	taproot	accept		12937678	13126050
clique	subclass	reject	label collision with the taxonomic rank	08240633	08106661
conception	anisogamy	reject	pregnancy is not a mode of reproduction	00844847	13432249
decay	organic-process	accept		11444643	13526110
desert	ecosystem	reject	WordNet's desert is land; the biome is another sense	08505573	08368757
diameter	subclass	reject	same	13871717	08106661
disease	organic-process	reject	a condition, not a process	14070360	13526110
dream	organic-process	reject	same	05768553	13526110
edge	subclass	reject	same	03264136	08106661
eosinophil	granulocyte	accept		05453943	05453145
erythroblast	red-blood-cell	accept		05448257	05454070
etiolation	organic-process	accept		00274206	13526110
filter	subclass	reject	same	03339643	08106661
forest	ecosystem	reject	same	09284015	08368757
hedge	ecosystem	reject	a fence of shrubs	03511175	08368757
hormone	medication	reject	a secretion; some are used as medication	05407119	03740161
illness	organic-process	reject	same	14061805	13526110
imagination	organic-process	reject	same	05767733	13526110
instinct	organic-process	reject	same	05622723	13526110
intuition	organic-process	reject	same	05919034	13526110
macrophage	leukocyte	accept		05450740	05449959
marsh	ecosystem	reject	land	09347779	08368757
neutrophil	granulocyte	accept		05453657	05453145
old-age	organic-process	reject	a time of life, not a process	15153787	13526110
osteoclast	macrophage	accept		05449073	05450740
plasma-cell	b-cell	accept		05452845	05451695
plasmablast	b-cell	accept		05453057	05451695
potato	perennial	reject	the gloss says annual	12897493	11553240
recombination	organic-process	accept		07374152	13526110
region	subclass	reject	same	08630985	08106661
schwann-cell	neurogliacyte	accept		05465071	05467432
selection	organic-process	reject	WordNet's sense is an assortment; natural selection is another word	08399818	13526110
sleep	organic-process	reject	a state, not a process	14024882	13526110
succession	organic-process	accept		13562862	13526110
tension	organic-process	reject	psychological state	14376188	13526110
transcription	chemical-reaction	accept		13568238	13447361
ecosystem	environment	accept	OpenCyc's line; Peter 2026-09-03: `group` is true only abstractly and not descriptive	08368757	08567235
acid-base-equilibrium	chemical-reaction	reject	an equilibrium is a state [second pass 2026-09-03]	13425980	13447361
blastema	cell	reject	a mass of cells is not a cell [second pass 2026-09-03]	05431402	00006484
erythroblast	embryonic-cell	reject	a bone-marrow cell of adults too [second pass 2026-09-03]	05448257	05447757
erythroblast	red-blood-cell	reject	a precursor, not a red blood cell [second pass 2026-09-03]	05448257	05454070
fibroblast	embryonic-cell	reject	fibroblasts are ordinary adult connective-tissue cells [second pass 2026-09-03]	05448400	05447757
freak	mutant	reject	deformity is not mutation [second pass 2026-09-03]	10109443	10341660
heterozygote	zygote	reject	an organism, not a cell — WordNet's slip [second pass 2026-09-03]	05432230	05431926
homozygote	zygote	reject	same [second pass 2026-09-03]	05432420	05431926
leukocyte	free-phagocyte	reject	lymphocytes are leukocytes and not phagocytes [second pass 2026-09-03]	05449959	05451265
linkage-group	gene	reject	a pair of genes is not a gene [second pass 2026-09-03]	05439100	05436752
megakaryocyte	bone-cell	reject	a bone-marrow cell, not a bone cell [second pass 2026-09-03]	05448928	05447599
nerve-fiber	fiber	reject	not a textile fiber [second pass 2026-09-03]	05464104	14866889
spindle	fiber	reject	not a textile fiber [second pass 2026-09-03]	05605498	14866889
packed-cells	blood-cell	reject	a preparation is not a cell [second pass 2026-09-03]	05450370	05449268
uncus	curved-shape	reject	a hook-shaped part is a part, not a shape [second pass 2026-09-03]	13869676	13867641
