# offset	name	note
07374152	genetic-recombination	the plain word `recombination` is everyday; a pack never takes it (second pass 2026-09-03)
13549488	muscle-relaxation	the plain word `relaxation` is everyday; a pack never takes it (second pass 2026-09-03)
13549916	dna-replication	the plain word `replication` is everyday; a pack never takes it (second pass 2026-09-03)
13554121	genetic-segregation	the plain word `segregation` is everyday; a pack never takes it (second pass 2026-09-03)
13559782	biological-specialization	the plain word `specialization` is everyday; a pack never takes it (second pass 2026-09-03)
13133438	flower-spike	the plain word `spike` is everyday; a pack never takes it (second pass 2026-09-03)
05605498	spindle-fiber	the plain word `spindle` is everyday; a pack never takes it (second pass 2026-09-03)
13562862	ecological-succession	the plain word `succession` is everyday; a pack never takes it (second pass 2026-09-03)
05441468	suppressor-gene	the plain word `suppressor` is everyday; a pack never takes it (second pass 2026-09-03)
13568238	gene-transcription	the plain word `transcription` is everyday; a pack never takes it (second pass 2026-09-03)
13568796	genetic-transduction	the plain word `transduction` is everyday; a pack never takes it (second pass 2026-09-03)
00399030	bacterial-transformation	the plain word `transformation` is everyday; a pack never takes it (second pass 2026-09-03)
13568983	rna-translation	the plain word `translation` is everyday; a pack never takes it (second pass 2026-09-03)
13569464	chromosomal-translocation	the plain word `translocation` is everyday; a pack never takes it (second pass 2026-09-03)
07425903	genetic-transposition	the plain word `transposition` is everyday; a pack never takes it (second pass 2026-09-03)
08108784	taxonomic-tribe	the plain word `tribe` is everyday; a pack never takes it (second pass 2026-09-03)
08101085	taxonomic-variety	the plain word `variety` is everyday; a pack never takes it (second pass 2026-09-03)
08111157	taxonomic-variant	the plain word `variant` is everyday; a pack never takes it (second pass 2026-09-03)
05034989	biological-valence	the plain word `valence` is everyday; a pack never takes it (second pass 2026-09-03)
