offset	lemma	field	semcor	zipf	why	nearest	flags	gloss
05221895	area	body	25	5.46	semcor	body-part	word present in another sense	a part of an animal that has a special function or is supplied by a given artery or nerve;
00941140	approach	act	30	4.93	semcor	creation	word present in another sense	"ideas or actions intended to deal with a problem or situation; ""his approach to every prob"
07325990	onset	event	42	3.72	semcor	event		"the beginning or early stages; ""the onset of pneumonia"""
05611822	place	cognition	22	5.71	semcor	cognition	word present in another sense	"an abstract mental location; ""he has a special place in my thoughts""; ""a place in my heart"
05195362	pressure	attribute	29	5.01	semcor	influence	word present in another sense	"a force that compels; ""the public brought pressure to bear on the government"""
00986938	fire	act	26	5.3	semcor	attack	word present in another sense	"the act of firing weapons or artillery at an enemy; ""hold your fire until you can see the "
07283608	happening	event	31	4.8	semcor	event	word present in another sense	an event that happens
07800091	feed	food	32	4.67	semcor	food		food for domestic livestock
06482401	item	communication	33	4.57	semcor	part	word present in another sense	a distinct part that can be specified separately in a group of things that could be enumer
08663860	top	location	23	5.57	semcor	place	word present in another sense	"the upper part of anything; ""the mower cuts off the tops of the grass""; ""the title should "
06532330	law	communication	24	5.46	semcor	legal-document	word present in another sense	"legal document setting forth rules governing a particular kind of activity; ""there is a la"
06648724	argument	communication	32	4.64	semcor	indication	word present in another sense	"a fact or assertion offered as evidence that something is true; ""it was a strong argument "
14498096	dirt	state	36	4.24	semcor	condition	word present in another sense	the state of being covered with unclean things
15211806	June	time	26	5.21	semcor	calendar-month		the month following May and preceding July
07546465	hate	feeling	27	5.11	semcor	emotion		the emotion of intense dislike; a feeling of dislike so strong that it demands action
00877127	look	act	20	5.81	semcor	activity	word present in another sense	"the act of directing the eyes toward something and perceiving it visually; ""he went out to"
06647206	record	communication	26	5.21	semcor	indication	word present in another sense	anything (such as a document or a phonograph record or a photograph) providing permanent e
13962498	death	state	24	5.4	semcor	state	word present in another sense	"the absence of life or state of being dead; ""he seemed more content in death than he had e"
15242955	long_time	time	21	5.69	semcor	time-period	word present in another sense	"a prolonged period of time; ""we've known each other for ages""; ""I haven't been there for y"
02852523	block	artifact	29	4.88	semcor	artifact	word present in another sense	"a solid piece of something (usually having flat rectangular sides); ""the pyramids were bui"
00911048	construction	act	28	4.97	semcor	creation	word present in another sense	"the act of constructing something; ""during the construction we had to take a detour""; ""his"
14842992	earth	substance	27	5.06	semcor	material	word present in another sense	"the loose soft material that makes up a large part of the land surface; ""they dug into the"
07127006	laugh	communication	31	4.66	semcor	information		the sound of laughing
15204297	year	time	18	5.96	semcor	time-period	word present in another sense	a period of time occupying a regular part of a calendar year that is used for some particu
05134547	depth	attribute	32	4.55	semcor	magnitude		"the extent downward or backward or inward; ""the depth of the water""; ""depth of a shelf""; """
04617289	thing	attribute	20	5.72	semcor	attribute		"any attribute or quality considered as having its own existence; ""the thing I like about h"
09937250	colonel	person	33	4.41	semcor	skilled-worker		a commissioned military officer in the United States Army or Air Force or Marines who rank
04916342	property	attribute	26	5.11	semcor	attribute	word present in another sense	"a basic or essential attribute shared by all members of a class; ""a study of the physical "
06345993	title	communication	26	5.1	semcor	line-of-text	word present in another sense	a heading that names a statute or legislative bill; may give a brief summary of the matter
08641113	vicinity	location	39	3.8	semcor	region		"a surrounding or nearby region; ""the plane crashed in the vicinity of Asheville""; ""it is a"
15140744	life	time	18	5.89	semcor	time-period	word present in another sense	"the period between birth and the present time; ""I have known him all his life"""
00189565	run	act	22	5.49	semcor	accomplishment		"a score in baseball made by a runner touching all four bases safely; ""the Yankees scored 3"
05671974	part	cognition	19	5.78	semcor	matter-of-concern	word present in another sense	"that which concerns a person with regard to a particular role or situation; ""it requires v"
06656408	policy	communication	25	5.17	semcor	argumentation	word present in another sense	"a line of argument rationalizing the course of action of a government; ""they debated the p"
04679419	face	attribute	22	5.45	semcor	appearance	word present in another sense	"the general outward appearance of something; ""the face of the city is changing"""
13780719	relationship	relation	25	5.15	semcor	relation	word present in another sense	a relation between people; (`relationship' is often used where `relation' would serve, as 
08377085	course	group	22	5.44	semcor	group	word present in another sense	"a connected series of events or actions or developments; ""the government took a firm cours"
08565701	edge	location	29	4.74	semcor	place	word present in another sense	the boundary of a surface
08620061	point	location	21	5.54	semcor	place	word present in another sense	"the precise location of something; a spatially limited location; ""she walked to a point wh"
00028651	space	tops	24	5.23	semcor	attribute	word present in another sense	"the unlimited expanse in which everything is located; ""they tested his ability to locate o"
05026843	weight	attribute	26	5.02	semcor	attribute		the vertical force exerted by a mass as a result of gravity
01318381	head	animal	21	5.51	semcor	animal	word present in another sense	"a single domestic animal; ""200 head of cattle"""
01134861	treatment	act	26	5.01	semcor	management	word present in another sense	"the management of someone or something; ""the handling of prisoners""; ""the treatment of wat"
04564698	way	artifact	16	6.01	semcor	artifact	word present in another sense	"any artifact consisting of a road or path affording passage from one place to another; ""he"
15163979	Monday	time	28	4.8	semcor	time-period		the second day of the week; the first working day
00162632	decision	act	25	5.09	semcor	act	word present in another sense	"the act of making up your mind about something; ""the burden of decision was his""; ""he drew"
00087663	award	act	27	4.88	semcor	act		"a grant made by a law court; ""he criticized the awarding of compensation by the court"""
08397255	military_personnel	group	31	4.47	semcor	organization		soldiers collectively
14002279	balance	state	28	4.76	semcor	equilibrium	word present in another sense	a state of equilibrium
13942875	circumstance	state	39	3.66	semcor	condition	word present in another sense	a condition that accompanies or influences some event or activity
06536853	bill	communication	24	5.15	semcor	legal-document	word present in another sense	"a statute in draft before it becomes law; ""they held a public hearing on the bill"""
06729864	claim	communication	26	4.95	semcor	assertion	word present in another sense	"an assertion of a right (as to money or property); ""his claim asked for damages"""
06606808	point	communication	20	5.54	semcor	meaning	word present in another sense	"a brief version of the essential meaning of something; ""get to the point""; ""he missed the "
10278128	ma	person	29	4.63	semcor	mother		informal terms for a mother
07140659	discussion	communication	28	4.71	semcor	information	word present in another sense	"an exchange of views on some topic; ""we had a good discussion""; ""we had a word or two abou"
05849284	quality	cognition	24	5.11	semcor	property	word present in another sense	"a characteristic property that defines the apparent individual nature of something; ""each "
06799897	line	communication	20	5.49	semcor	indication	word present in another sense	"a mark that is long relative to its width; ""He drew a line on the chart"""
00520257	show	act	18	5.68	semcor	entertainment	word present in another sense	"the act of publicly exhibiting or entertaining; ""a remarkable show of skill"""
15164570	Saturday	time	26	4.87	semcor	time-period		the seventh and last day of the week; observed as the Sabbath by Jews and some Christians
06643408	evidence	communication	23	5.14	semcor	indication	word present in another sense	"an indication that makes something evident; ""his trembling was evidence of his fear"""
06724763	description	communication	27	4.73	semcor	information		a statement that represents something in words
05142180	good	attribute	13	6.12	semcor	attribute	word present in another sense	"that which is pleasing or valuable or useful; ""weigh the good against the bad""; ""among the"
13250048	land	possession	22	5.22	semcor	belongings	word present in another sense	"the land on which real estate is located; ""he built the house on land leased from the city"
08642037	place	location	17	5.71	semcor	region	word present in another sense	"a general vicinity; ""He comes from a place near Chicago"""
00586262	position	act	22	5.21	semcor	occupation	word present in another sense	"a job in an organization; ""he occupied a post in the treasury"""
13790912	footing	relation	39	3.5	semcor	grounds	word present in another sense	"a relation that provides the foundation for something; ""they were on a friendly footing""; "
01144133	planning	act	25	4.9	semcor	activity		"an act of formulating a program for a definite course of action; ""the planning was more fu"
15211189	April	time	22	5.19	semcor	calendar-month		the month following March and preceding May
