name	wordnet	sumo	sumo_rel	schemaorg	yago	wikidata	opencyc	bfo	dolce	dul	gloss	origin
advance	13375891	CreditAccount	+								an amount paid before it is earned	base
advancement	00249501	SubjectiveAssessmentAttribute	+			Q2351730					"gradual improvement or growth or development; ""advancement of knowledge""; ""great progress "	base
advantage	05142863	SubjectiveAssessmentAttribute	+								"benefit resulting from some event or action; ""it turned out to my advantage""; ""reaping the"	base
adventure	00796315	SubjectiveAssessmentAttribute	+			Q1436734					a wild and exciting undertaking (not necessarily lawful)	base
adversary	09773245	Human	+			Q12829182					someone who offers opposition	base
adversity	14475661	SubjectiveAssessmentAttribute	+								"a state of misfortune or affliction; ""debt-ridden farmers struggling with adversity""; ""a l"	base
advice	06671484	Requesting	=				Mx4rv16ko5wpEbGdrcN5Y29ycA				a proposal for an appropriate course of action	base
adviser	09774266	SocialRole	+								"an expert who gives advice; ""an adviser helped students select their courses""; ""the United"	base
advocate	09774783	Human	+			Q380075					a person who pleads for a cause or propounds an idea	base
affair	13931889	SocialInteraction	+								a usually secretive or illicit sexual relationship	base
affiliation	13930385	SocialInteraction	+								"a social or business relationship; ""a valuable financial affiliation""; ""he was sorry he ha"	base
affinity	04688648	SubjectiveAssessmentAttribute	+				Mx4rFhNT5DAIQdiT5uThdT9q3A				"a natural attraction or feeling of kinship; ""an affinity for politics""; ""the mysterious af"	base
affinity.relation	13811410	SocialInteraction	+								a close connection marked by community of interests or similarity in nature or character; 	base
affirmation	07203126	Stating	=				Mx4rBy_4XF3fEdaAAABQ2sS97g				the act of affirming or asserting or stating something	base
afternoon	15166191	Afternoon	=				Mx4rvViGOpwpEbGdrcN5Y29ycA				"the part of the day between noon and evening; ""he spent a quiet afternoon in the park"""	base
age	04924103	Attribute	+								"how long something has existed; ""it was replaced because of its age"""	base
agency	08057206	TravelAgencies	=			Q3951828					a business that serves other businesses	base
agenda	06485261	Text	+			Q4174106					a list of matters to be taken up (as at a meeting)	base
agent	00007347	AutonomousAgent	=			Q392648				Agent	any entity that produces an effect or is responsible for events or results	base
aggression	00964569	ViolentContest	+								violent action that is hostile and usually unprovoked	base
agitation	00554300	SubjectiveAssessmentAttribute	+								disturbance usually in protest	base
agony	07495551	EmotionalState	+				Mx4rhZjNsB62QdiECZQD_tmZAw				"intense feelings of suffering; acute mental or physical pain; ""an agony of doubt""; ""the to"	base
agreement	13971065	Cooperation	+								"harmony of people's opinions or actions or characters; ""the two parties were in agreement"""	base
aid	13265904	Funding	+			Q2827815					money to support a worthy person or cause	base
aids	14127782	AcquiredImmunoDeficiencySyndrome	=			Q12199	Mx4rwP1LGpwpEbGdrcN5Y29ycA				a serious (often fatal) disease of the immune system transmitted through blood products es	base
air	14841267	Air	=				Mx4rvVjADJwpEbGdrcN5Y29ycA				a mixture of gases (especially oxygen) required for breathing; the stuff that the wind con	base
aircraft	02686568	Aircraft	=		Aircraft	Q11436	Mx4rvViuUJwpEbGdrcN5Y29ycA				a vehicle that can fly	base
aircraft-wing	04592741	WingDevice	+			Q20078304					one of the horizontal airfoils on either side of the fuselage of an airplane	base
airline	02690081	Airline	=	schema:Airline	Airline	Q46970	Mx4rvViq7pwpEbGdrcN5Y29ycA				a commercial enterprise that provides scheduled flights for passengers	base
airplane	02691156	Airplane	=		Airplane	Q197	Mx4rvViCi5wpEbGdrcN5Y29ycA				"an aircraft that has a fixed wing and is powered by propellers or jets; ""the flight was de"	base
airport	02692232	Airport	=	schema:Airport	Airport	Q1248784					an airfield equipped with control tower and hangars as well as accommodations for passenge	base
aisle	02694045	LandTransitway	+			Q939723	Mx4rwP1KR5wpEbGdrcN5Y29ycA				part of a church divided laterally from the nave proper by rows of pillars or columns	base
alarm	02694426	SecurityAlarm	+								a device that signals the occurrence of some undesirable event	base
alarm-clock	02694662	AlarmClock	=			Q212758	Mx4r9gzS1MJsEdmAAACQJw5drg				a clock that wakes a sleeper at some preset time	base
album	02695079	Book	+			Q1173065					a book of blank pages with pockets or envelopes; for organizing photographs or stamp colle	base
alcohol	07884567	AlcoholicBeverage	+		Alcohol	Q154	Mx4rvVim-JwpEbGdrcN5Y29ycA				"a liquor or brew containing alcohol as the active agent; ""alcohol (or drink) ruined him"""	base
alimony	13283620	Giving	+								court-ordered support paid by one spouse to another after they are separated	base
alliance	13792183	Relation	+		Alliance	Q878249	Mx4r-GjensiWEdmAAAACs6hRjg				"a connection based on kinship or marriage or common interest; ""the shifting alliances with"	base
allotment	13289467	Entity	+				Mx4rrgDAIK6SQdiUL5E1hbfyaw				a share set aside for a specific purpose	base
allowance	13286254	Entity	+			Q2364815	Mx4r1wuYRkPeQdmNxIu5Qhs3SQ				"an amount allowed or granted (as during a given period); ""travel allowance""; ""my weekly al"	base
ally	08305942	Nation	+								a friendly nation	base
aloofness	07505871	PsychologicalAttribute	+								"indifference by personal withdrawal; ""emotional distance"""	base
altar	02699494	Artifact	+		Altar	Q101687	Mx4rvViUsJwpEbGdrcN5Y29ycA				a raised structure on which gifts or sacrifices to a god are made	base
altitude	05131647	AltitudeMeasure	=								"elevation especially above sea level or above the earth's surface; ""the altitude gave her "	base
aluminum	14627820	Aluminum	=			Q663					a silvery ductile metallic element found primarily in bauxite	base
alumnus	09786338	SocialRole	+			Q508719					a person who has received a degree from a school (high school or college or university)	base
amateur	09786585	SubjectiveAssessmentAttribute	=			Q455595	Mx8NhB4rwP1IC5wpEbGdrcN5Y29ycB4rvsaaeJwpEbGdrcN5Y29ycB4rsCN6vMCfEdmAAACQJw5drh4rHIBS0h_TEdaAAABQ2rksLw				someone who pursues a study or sport as a pastime	base
ambiance	14524849	SubjectiveAssessmentAttribute	=								"a particular environment or surrounding influence; ""there was an atmosphere of excitement"""	base
ambiguity	04825114	Attribute	+			Q1140419					unclearness by virtue of having more than one meaning	base
ambition	04836268	PsychologicalAttribute	+								a strong drive for success	base
ambulance	02701002	Ambulance	+			Q180481	Mx4rvViM0pwpEbGdrcN5Y29ycA				a vehicle that takes people to and from hospitals	base
amendment	06723635	Stating	+		Amendment		Mx4rxom0dBbwQdiPupwJcaCIdA				a statement that is added to or revises or improves a proposal or document (a bill or cons	base
amphetamine	02704153	Stimulant	+			Q179452	Mx4rwP1bk5wpEbGdrcN5Y29ycA				a central nervous system stimulant that increases energy and decreases appetite; used to t	base
amphibian	01627424	Amphibian	=			Q10908	Mx4rvVjgJJwpEbGdrcN5Y29ycA				cold-blooded vertebrate typically living on land but breeding in water; aquatic larvae und	base
amplitude	07444882	Motion	+								(physics) the maximum displacement of a periodic wave	physics
analogue	04746430	SubjectiveAssessmentAttribute	+								something having the property of being analogous to something else	base
analogy	05780339	Reasoning	+								an inference that if things agree in some respects they probably agree in others	base
analyst	09790278	Position	+				Mx4rvViq2JwpEbGdrcN5Y29ycA				a licensed practitioner of psychoanalysis	base
ancestor	09792555	BiologicalAttribute	+			Q402152					someone from whom you are descended (but usually more remote than a grandparent)	base
angel	09538915	Angel	=		Angel	Q235113	Mx4rwQBmFJwpEbGdrcN5Y29ycA				spiritual being attendant upon God	base
anger	07516354	Anger	=			Q79871	Mx4rvVjESJwpEbGdrcN5Y29ycA				a strong emotion; a feeling that is oriented toward some real or supposed grievance	base
angle	13887509	TwoDimensionalAngle	=			Q11352					the space between two lines or planes that intersect; the inclination of one line to anoth	base
animal	00015388	Animal	=			Q729					a living organism characterized by voluntary movement	base
animal-pack	07994941	GroupOfAnimals	+			Q1758639					a group of hunting animals	base
ankle	05578442	Ankle	+			Q168002	Mx4rvVi-R5wpEbGdrcN5Y29ycA				a gliding joint between the distal ends of the tibia and fibula and the proximal end of th	base
annex	02713594	Room	+				Mx4rly8RpiqlQdiS787W5uNgVg				an addition that extends a main building	base
anniversary	15249799	Day	+		Anniversary	Q1062856					the date on which an event occurred in some previous year (or the celebration of it)	base
annotation	06763273	Text	+			Q857525	Mx4rvVjSCJwpEbGdrcN5Y29ycA				"a comment or instruction (usually added); ""his notes were appended at the end of the artic"	base
announcement	06726158	Disseminating	+			Q1572600					"a formal public statement; ""the government made an announcement about changes in the drug "	base
anomaly	08622763	PlaneAngleMeasure	+								(astronomy) position of a planet as defined by its angular distance from its perihelion (a	physics
answer	07200527	Answering	=	schema:Answer		Q1920566					the speech act of replying to a question	base
ant	02219486	AntInsect	+			Q7386	Mx4rvVjecpwpEbGdrcN5Y29ycA				social insect living in organized colonies; characteristically the males and fertile queen	base
anteroom	02715513	Room	+			Q240854					a large entrance or reception room or area	base
antibaryon	09199219	SubatomicParticle	+			Q14861565					the antiparticle of a baryon; a hadron with a baryon number of -1	physics
anticipation	07511080	EmotionalState	+			Q255266					an expectation	base
antilepton	09199341	SubatomicParticle	+			Q9617716					the antiparticle of a lepton	physics
antimeson	09199498	SubatomicParticle	+								the antiparticle of a meson	physics
antimuon	09199581	SubatomicParticle	+								the antiparticle of a muon; decays to positron and neutrino and antineutrino	physics
antineutrino	09199728	SubatomicParticle	+			Q1066748					the antiparticle of a neutrino	physics
antineutron	09199817	SubatomicParticle	+			Q156530					the antiparticle of a neutron	physics
antinode	08498732	Region	+								(physics) the point of maximum displacement in a periodic system	physics
antiparticle	09199904	SubatomicParticle	+			Q182717					a particle that has the same mass as another particle but has opposite values for its othe	physics
antiproton	09200193	SubatomicParticle	+			Q107575					an unstable negatively charged proton; the antiparticle of a proton	physics
antiquark	09200317	SubatomicParticle	+			Q2052084					the antiparticle of a quark	physics
antitauon	09200419	SubatomicParticle	+								an antilepton of very great mass	physics
anxiety	14374432	Anxiety	=			Q154430					(psychiatry) a relatively permanent state of worry and nervousness occurring in a variety 	base
apartment	02726305	ApartmentUnit	=	schema:Apartment	Apartment	Q188507	Mx4rvVixF5wpEbGdrcN5Y29ycA				a suite of rooms usually on one floor of an apartment house	base
apathy	07483622	PsychologicalAttribute	+			Q309406					an absence of emotion or enthusiasm	base
apoapsis	08495617	Region	+								(astronomy) the point in an orbit farthest from the body being orbited	physics
apology	06633363	Expressing	+			Q273668					"an expression of regret at having caused trouble for someone; ""he wrote a letter of apolog"	base
apparatus	02727825	Device	+			Q620681					equipment designed to serve a specific function	base
apparel	02728440	Clothing	+								"clothing in general; ""she was refined in her choice of apparel""; ""he always bought his clo"	base
appeal	04687333	SubjectiveAssessmentAttribute	+			Q329777					"attractiveness that interests or pleases or stimulates; ""his smile was part of his appeal "	base
appearance	04673965	SubjectiveAssessmentAttribute	+				Mx4rwJZJIZwpEbGdrcN5Y29ycA				outward or visible aspect of a person or thing	base
appendix	05537576	BodyPart	+			Q9656	Mx4rPXNN8iQNQdeZzd0BRieWGw				a vestigial process that extends from the lower end of the cecum and that resembles a smal	base
appetite	07485626	PsychologicalAttribute	+			Q28578	Mx4r0wITiCzsQdiQ-51ndcJW8w				"a feeling of craving something; ""an appetite for life""; ""the object of life is to satisfy "	base
apple	07739125	Apple	=			Q89	Mx8Ngh4rvVipdpwpEbGdrcN5Y29ycB4rvVjBnZwpEbGdrcN5Y29ycA				fruit with red or yellow or green skin and sweet to tart crisp whitish flesh	base
appliance	02729965	Device	+			Q339084					a device or control that is very useful for a particular job	base
applicant	09607280	SocialRole	+				Mx4rZisceCthQdiJGZT_4gMiZg				a person who requests or seeks something such as assistance or employment or admission	base
application	06570110	ComputerProgram	+			Q166142	Mx4rvViM8ZwpEbGdrcN5Y29ycA				a program that gives a computer instructions that provide the user with tools to accomplis	base
appointment	00586105	Declaring	+				Mx4rvVieKpwpEbGdrcN5Y29ycA				"the job to which you are (or hope to be) appointed; ""he applied for an appointment in the "	base
appraisal	05733583	Comparing	+				Mx4rvWotk5wpEbGdrcN5Y29ycA				the classification of someone or something with respect to its worth	base
appraisal-report	06528783	Certificate	+				Mx4rwOD_GpwpEbGdrcN5Y29ycA				a document appraising the value of something (as for insurance or taxation)	base
aquarium	02732072	FishTank	=	schema:Aquarium	Aquarium	Q45782					a tank or pool or bowl filled with water for keeping live fish and underwater animals	base
arachnid	01769347	Arachnid	=			Q1358	Mx4rvVifK5wpEbGdrcN5Y29ycA				air-breathing arthropods characterized by simple eyes and four pairs of legs	base
arch	02734217	StationaryArtifact	+		Arch	Q12277	Mx4rero7lCTVQdeAWbti1baqSw				"a passageway under a curved masonry construction; ""they built a triumphal arch to memorial"	base
architect	09805475	Designer	=			Q42973	Mx4rwQxF25wpEbGdrcN5Y29ycA				someone who creates plans to be used in making something (such as buildings)	base
architecture	06123363	Architecture	=		Architecture	Q12271	Mx8Ngh4rwQrxJ5wpEbGdrcN5Y29ycB4rvVjNP5wpEbGdrcN5Y29ycA				the discipline dealing with the principles of design and construction and ornamentation of	base
archive	02735086	EducationalOrganization	+			Q166118	Mx8Ngh4rwP1_U5wpEbGdrcN5Y29ycB4rvVj2rJwpEbGdrcN5Y29ycA				a depository containing historical records and documents	base
ardor	07481375	EmotionalState	+								"feelings of great warmth and intensity; ""he spoke with great ardor"""	base
arena	08497107	StationaryArtifact	+		Arena						the central area of an ancient Roman amphitheater where contests and spectacles were held;	base
argument	07140978	Debating	=		Argument	Q179875					"a discussion in which reasons are advanced for and against some proposition or proposal; """	base
argumentation	05773049	Reasoning	+								a course of reasoning aimed at demonstrating a truth or falsehood; the methodical process 	base
arm	05563770	Arm	=			Q43471	Mx4rvVjp5ZwpEbGdrcN5Y29ycA				a human limb; technically the part of the superior limb between the shoulder and the elbow	base
armchair	02738535	Chair	+				Mx4rvVii15wpEbGdrcN5Y29ycA				chair with a support on each side for arms	base
army	08191230	Army	+		Army						a permanent organization of the military land forces of a nation or state	base
army-division	08213205	MilitaryOrganization	+				Mx4rcmh5hJmhEdaAAAACs1uxFw				"an army unit large enough to sustain combat; ""two infantry divisions were held in reserve"""	base
arrangement-scheme	05728678	SpatialRelation	=								"an arrangement scheme; ""the awkward design of the keyboard made operation difficult""; ""it "	base
arrow	02742753	ArrowProjectile	=			Q45922	Mx4rvViIy5wpEbGdrcN5Y29ycA				a projectile with a straight thin shaft and an arrowhead on one end and stabilizing vanes 	base
art					Art	Q735						base
article	06268096	Report	=	schema:Article	Article	Q191067	Mx4rwPkghJwpEbGdrcN5Y29ycA				nonfictional prose forming an independent part of a publication	base
articulation	05595083	BodyJoint	+			Q9644					(anatomy) the point of connection between two bones or elements of a skeleton (especially 	base
artifact	00021939	Artifact	=			Q8205328	Mx4rvVkH_ZwpEbGdrcN5Y29ycA				a man-made object taken as a whole	base
artillery-shell	04190464	Grenade	+				Mx4rvvM2ZJwpEbGdrcN5Y29ycA				ammunition consisting of a cylindrical metal casing containing an explosive charge and a p	base
artist	09812338	Artist	=			Q483501	Mx4rwMcZI5wpEbGdrcN5Y29ycA				a person whose creative work shows sensitivity and imagination	base
artistic-creation	00933420	ArtWork	+			Q735					"the creation of beautiful or significant things; ""art does not need to be innovative to be"	base
ascension	07311661	Motion	+								(astronomy) the rising of a star above the horizon	physics
ash	14769160	Substance	+			Q152079					the residue that remains when something is burned	base
ash-grey	04962062	GrayColor	+			Q317802					a light shade of grey	base
aspect	05850624	Attribute	+								"a distinct feature or element in a problem; ""he studied every facet of the question"""	base
aspiration	07484547	PsychologicalAttribute	+								"a cherished desire; ""his ambition is to own his own business"""	base
assault	00767826	ViolentContest	+		Assault	Q2911369					a threatened or attempted physical attack by someone who appears to be able to cause bodil	base
assembly-hall	03478907	Room	+		Assembly_hall	Q1940809					"a large room for gatherings or entertainment; ""lecture hall""; ""pool hall"""	base
assertion	06729499	Stating	+								a declaration that is made emphatically (as if no supporting evidence were necessary)	base
asset	05154517	PropertyFn	+								a useful or valuable quality	base
assignment	00796586	IntentionalProcess	+								an undertaking that you have been assigned to do (as by an instructor)	base
assimilation	13434878	SocialInteraction	+								the social process of absorbing one cultural group into harmony with another	base
assist	01207609	Cooperation	+								the activity of contributing to the fulfillment of a need or furtherance of an effort or p	base
assistant	09815790	Human	+			Q2070313	Mx4rQlXXKHAvEduAAAACs2IKfQ				a person who contributes to the fulfillment of a need or furtherance of an effort or purpo	base
association	08049401	Organization	=			Q12818739	Mx4rwH-3XJwpEbGdrcN5Y29ycA				"a formal organization of people or groups of people; ""he joined the Modern Language Associ"	base
assurance	07227406	Committing	+								"a statement intended to inspire confidence; ""the President's assurances were not respected"	base
asterisk	06828389	Character	+								a star-shaped character * used in printing	base
asterism	09208496	AstronomicalBody	+			Q9262	Mx4rv47-F5wpEbGdrcN5Y29ycA				(astronomy) a cluster of stars (or a small constellation)	physics
astronomer	09818343	Astronomer	=			Q11063	Mx4rvVj_A5wpEbGdrcN5Y29ycA				a physicist who studies astronomy	physics
astronomy	06095022	Astronomy	=		Astronomy	Q333					the branch of physics that studies celestial bodies and the universe as a whole	base
athlete	09820263	FootballerSoccer	=		Athlete	Q2066131	Mx4rvVi--5wpEbGdrcN5Y29ycA				a person trained to compete in sports	base
atmosphere	09210604	Atmosphere	=		Atmosphere	Q8104	Mx4rvVjVGpwpEbGdrcN5Y29ycA				the envelope of gases surrounding any celestial body	base
atom	14619225	Atom	=			Q9121	Mx4rvViR75wpEbGdrcN5Y29ycA				(physics and chemistry) the smallest component of an element having the chemical propertie	base
atomic-nucleus	09375085	AtomicNucleus	=			Q1934178	Mx4rvVij2ZwpEbGdrcN5Y29ycA				the positively charged dense center of an atom	physics
atomic-spectrum	11426288	Radiating	+								(physics) a spectrum of radiation caused by electron transitions within an atom; the serie	physics
attachment	02755244	Artifact	+				Mx4rvWOV6JwpEbGdrcN5Y29ycA				a supplementary part or accessory	base
attack	00972621	Attack	=								"(military) an offensive against an enemy (using weapons); ""the attack began at dawn"""	base
attempt	00786195	IntentionalProcess	+								"earnest and conscientious activity intended to do or accomplish something; ""made an effort"	base
attention	05650579	PsychologicalAttribute	+			Q6501338	Mx4rf3--8LctEdmFRAACs6hRjg				"the faculty or power of mental concentration; ""keeping track of all the details requires y"	base
attitude	06193203	PropositionalAttitude	+								a complex mental state involving beliefs and feelings and values and dispositions to act i	base
attraction	04688246	SubjectiveAssessmentAttribute	+			Q4818701					"the quality of arousing interest; being attractive or something that attracts; ""her person"	base
attractive-force	11426530	Process	+								the force by which one object attracts another	base
attractor	05866199	GeometricPoint	+			Q507187					(physics) a point in the ideal multidimensional phase space that is used to describe a sys	physics
attribute	00024264	Attribute	=				Mx4rqs8mVL8bEdmAAAACs6hRjg				an abstraction belonging to or characteristic of an entity	base
auction	00092366	Auctioning	=			Q177923	Mx4rvotkAJwpEbGdrcN5Y29ycA				the public sale of something to the highest bidder	base
audience	08221897	Perception	+	schema:Audience		Q211198					"a gathering of spectators or listeners at a (usually public) performance; ""the audience ap"	base
audio	04262678	AudioRecording	=			Q5057302					a recording of acoustic signals	base
auditor	09823153	Human	+			Q10949665	Mx4rvVjiBJwpEbGdrcN5Y29ycA				a student who attends a course but does not take it for credit	base
augury	07286014	SubjectiveAssessmentAttribute	+			Q1120735					"an event that is experienced as indicating important things to come; ""he hoped it was an a"	base
aunt	09823502	BiologicalAttribute	+			Q41805477					the sister of your father or mother; the wife of your uncle	base
authorities	09824609	SocialRole	+								"(usually plural) persons who exercise (administrative) control over others; ""the authoriti"	base
authority	09824361	Human	+								"an expert whose views are taken as definitive; ""he is an authority on corporate law"""	base
automaton	02761392	Device	+			Q11012					a mechanism that can move automatically	base
automobile-horn	02761834	ElectricDevice	+			Q1146163					a device on an automobile for making a warning noise	base
autonomy	14001031	Attribute	+								personal independence	base
autumnal-equinox	08521112	Region	@								(astronomy) the equinoctial point that lies in the constellation of Virgo	physics
avant-garde	08465558	Group	+			Q102932					any creative group active in the innovation and application of new concepts and techniques	base
avenue	02763472	StationaryArtifact	+			Q7543083	Mx4r_FvEphlJQdiJV5A37qwXrA				a wide street or thoroughfare	base
average	06021761	Quantity	+		Average						"a statistic describing the location of a distribution; ""it set the norm for American homes"	base
aviation	08067218	FlyingAircraft	+		Aviation	Q765633					the operation of aircraft to provide transportation	base
avocation	00432689	RecreationOrExercise	+			Q1267055					an auxiliary activity	base
axis	02764614	EngineeringComponent	+			Q792567	Mx4rvVjqj5wpEbGdrcN5Y29ycA				the center around which something rotates	base
b-meson	09224828	SubatomicParticle	+								exceedingly short-lived meson	physics
baby	09827683	HumanBaby	=			Q998					"a very young child (birth to 1 year) who has not yet begun to walk or talk; ""the baby bega"	base
baby-buggy	02766534	UnpoweredVehicle	+								a small vehicle with four wheels in which a baby or child is pushed around	base
background	04921417	PastFn	+								"a person's social heritage: previous experience or training; ""he is a lawyer with a sports"	base
backlog	13368052	Keeping	+			Q2710737					something kept back or saved for future use or a special purpose	base
bacon	07670433	Bacon	=			Q11106	Mx4rvWKeipwpEbGdrcN5Y29ycA				back and sides of a hog salted and dried or smoked; usually sliced thin and fried	base
bacterium	01348530	Bacterium	=			Q10876	Mx4rvVjU-5wpEbGdrcN5Y29ycA				(microbiology) single-celled or noncellular spherical or spiral or rod-shaped organisms la	base
bag	02773838	TravelContainer	+		Bag	Q200814					"a portable rectangular container for carrying clothes; ""he carried his small bag onto the "	base
bail	05903445	Procedure	+			Q162351					the legal system that allows an accused person to be temporarily released from custody (us	base
bail-bond	13350976	CurrencyMeasure	+								(criminal law) money that must be forfeited by the bondsman if an accused person fails to 	base
bait	05695232	SubjectiveAssessmentAttribute	+								anything that serves as an enticement	base
balance	13408980	Attribute	+			Q1530280					equality between the totals of the credit and debit sides of an account	base
balcony	02777734	Balcony	=		Balcony	Q170552					a platform projecting from the wall of a building and surrounded by a balustrade or railin	base
ball	02778669	Ball	=			Q2356340					"round object that is hit or thrown or kicked in games; ""the ball travelled 90 mph on his s"	base
ballet	00528667	Dancing	+		Ballet	Q41425	Mx4rvYkGtJwpEbGdrcN5Y29ycA				a theatrical representation of a story that is performed to music by trained dancers	base
balloon	02782329	Balloon	=			Q643435	Mx4rvVjsl5wpEbGdrcN5Y29ycA				small thin inflatable rubber bag with narrow neck	base
ballot	06470922	Ballot	=				Mx4rqg-zgDoYQdeOY6ItKBOryg				a document listing the alternatives that is used in voting	base
banana	07753592	Banana	=				Mx8Ngh4rvVipdpwpEbGdrcN5Y29ycB4rvViwXZwpEbGdrcN5Y29ycA				elongated crescent-shaped yellow fruit with soft sweet flesh	base
band	02784732	Fabric	+			Q4902580	Mx4rvgEZGJwpEbGdrcN5Y29ycA				an adornment consisting of a strip of a contrasting color or material	base
bandage	02785648	Fabric	+				Mx4rwP1cE5wpEbGdrcN5Y29ycA				a piece of soft material that covers and protects an injured part of the body	base
bang	07376257	RadiatingSound	+								a sudden very loud noise	base
