name	wordnet	sumo	sumo_rel	schemaorg	yago	wikidata	gpt	opencyc	bfo	dolce	dul	gloss	origin
activewear	04285803	Clothing	+			Q645292	5322					attire worn for sport or for casual wear	base
activity	00407535	IntentionalProcess	=				499844b	Mx4rlgRwgoDjQ2Wo8XdS2_fXuw				"any specific behavior; ""they avoided all recreational activity"""	base
actor	09765278	Actor	=			Q33999		Mx4rvVjaHZwpEbGdrcN5Y29ycA				a theatrical performer	base
actual-purchase-price	13305262	CurrencyMeasure	+									the price at which something is actually purchased	economics
actuary						Q179985		Mx4rsYyNlohwEdqAAAACs6hRXg					economics
ad	07248801	Advertising	=			Q37038						a public promotion of some product or service	base
adaptation	06408779	Text	+			Q483921		Mx4rz8Y1HDAEQdieyelU0gk2PQ				"a written work (as a novel) that has been recast in a new form; ""the play is an adaptation"	base
adapter	02678897	Device	+			Q1005390	4556b					device that enables something to be used in a way different from that for which it was int	base
addiction	14062725	DiseaseOrSyndrome	+			Q12029						being abnormally tolerant to and dependent on something that is psychologically or physica	base
addition	02679415	Putting	+			Q32043						"a component that is added to something to improve it; ""the addition of a bathroom was a ma"	base
address	08491027	PostalPlace	=			Q319608		Mx4rkGMnxHtwEd2AAABQjYGu0g				the place where a person or organization can be found or communicated with	base
adeptness	05642175	PsychologicalAttribute	+									"skillful performance or ability without difficulty; ""his quick adeptness was a product of "	base
adhesion-contract	06521878	Contract	+									a contract that heavily restricts one party while leaving the other free (as some standard	economics
adhesive	14702416	Glue	+		Adhesive	Q131790	503742b					a substance that unites or bonds surfaces together	base
adjusting-entry	13405480	Text	+									an accounting entry made at the end of an accounting period to allocate items between acco	economics
administrative-division	08220714	Organization	+									an administrative unit in government or business	base
administrator	09770949	Position	+									someone who administers a business	base
admiration	07500741	EmotionalState	+					Mx4rvViyC5wpEbGdrcN5Y29ycA				a feeling of delighted approval and liking	base
admission	07215948	Stating	+			Q904175		Mx4rvcBbxpwpEbGdrcN5Y29ycA				an acknowledgment of the truth of something	base
admonition	06672297	NormativeAttribute	+			Q4683829						cautionary advice about something imminent (especially imminent danger or other unpleasant	base
adolescent	09772029	Teenager	=			Q1492760						a juvenile between the onset of puberty and maturity	base
adoption	00180413	Getting	+			Q180472						"the act of accepting with approval; favorable reception; ""its adoption by society""; ""the p"	base
adult	09605289	HumanAdult	=			Q9584157		Mx4rwQBnMZwpEbGdrcN5Y29ycA				a fully developed person from maturity onward	base
advance	13375891	CreditAccount	+									an amount paid before it is earned	base
advance-death-benefit	13297397	CurrencyMeasure	+									a percentage of death benefits paid directly to policy holders having a short life expecta	economics
advancement	00249501	SubjectiveAssessmentAttribute	+			Q2351730						"gradual improvement or growth or development; ""advancement of knowledge""; ""great progress "	base
advantage	05142863	SubjectiveAssessmentAttribute	+									"benefit resulting from some event or action; ""it turned out to my advantage""; ""reaping the"	base
adventure	00796315	SubjectiveAssessmentAttribute	+			Q1436734						a wild and exciting undertaking (not necessarily lawful)	base
adversary	09773245	Human	+			Q12829182						someone who offers opposition	base
adverse-selection						Q380037							economics
adversity	14475661	SubjectiveAssessmentAttribute	+									"a state of misfortune or affliction; ""debt-ridden farmers struggling with adversity""; ""a l"	base
advertising	01101329	Selling	+		Advertising	Q37038						the business of drawing public attention to goods and services	economics
advice	06671484	Requesting	=					Mx4rv16ko5wpEbGdrcN5Y29ycA				a proposal for an appropriate course of action	base
adviser	09774266	SocialRole	+									"an expert who gives advice; ""an adviser helped students select their courses""; ""the United"	base
advocate	09774783	Human	+			Q380075						a person who pleads for a cause or propounds an idea	base
aerial-delivery	00317709	Putting	+			Q3040277						delivery of supplies or equipment or personnel by dropping them by parachute from an aircr	economics
affair	13931889	SocialInteraction	+									a usually secretive or illicit sexual relationship	base
affiliation	13930385	SocialInteraction	+									"a social or business relationship; ""a valuable financial affiliation""; ""he was sorry he ha"	base
affinity	04688648	SubjectiveAssessmentAttribute	+					Mx4rFhNT5DAIQdiT5uThdT9q3A				"a natural attraction or feeling of kinship; ""an affinity for politics""; ""the mysterious af"	base
affinity.relation	13811410	SocialInteraction	+									a close connection marked by community of interests or similarity in nature or character; 	base
affirmation	07203126	Stating	=					Mx4rBy_4XF3fEdaAAABQ2sS97g				the act of affirming or asserting or stating something	base
afternoon	15166191	Afternoon	=					Mx4rvViGOpwpEbGdrcN5Y29ycA				"the part of the day between noon and evening; ""he spent a quiet afternoon in the park"""	base
age	04924103	Attribute	+									"how long something has existed; ""it was replaced because of its age"""	base
agency	08057206	TravelAgencies	=			Q3951828						a business that serves other businesses	base
agenda	06485261	Text	+			Q4174106						a list of matters to be taken up (as at a meeting)	base
agent	00007347	AutonomousAgent	=			Q392648					Agent	any entity that produces an effect or is responsible for events or results	base
aggression	00964569	ViolentContest	+									violent action that is hostile and usually unprovoked	base
agio	13324297	CurrencyMeasure	+									a fee charged for exchanging currencies	economics
agitation	00554300	SubjectiveAssessmentAttribute	+									disturbance usually in protest	base
agony	07495551	EmotionalState	+					Mx4rhZjNsB62QdiECZQD_tmZAw				"intense feelings of suffering; acute mental or physical pain; ""an agony of doubt""; ""the to"	base
agreement	13971065	Cooperation	+									"harmony of people's opinions or actions or characters; ""the two parties were in agreement"""	base
agribusiness	01104406	Corporation	+			Q396622						a large-scale farming enterprise	economics
aid	13265904	Funding	+			Q2827815						money to support a worthy person or cause	base
aids	14127782	AcquiredImmunoDeficiencySyndrome	=			Q12199		Mx4rwP1LGpwpEbGdrcN5Y29ycA				a serious (often fatal) disease of the immune system transmitted through blood products es	base
air	14841267	Air	=				500090a	Mx4rvVjADJwpEbGdrcN5Y29ycA				a mixture of gases (especially oxygen) required for breathing; the stuff that the wind con	base
air-conditioner	02686379	AirConditioner	=			Q173725	605	Mx4rvViSnpwpEbGdrcN5Y29ycA				a system that keeps air cool and dry	base
air-duct	02690941	Airway	+			Q1136075	499874					a duct that provides ventilation (as in mines)	base
air-mattress	02690809	Artifact	+				3695					a mattress that can be stored flat and inflated for use	base
air-transportation	01105635	AirTransportationService	+					Mx8Ngh4rv3tMrJwpEbGdrcN5Y29ycB4rvViuUJwpEbGdrcN5Y29ycA				transportation by air	economics
airbrush	02685995	Device	+			Q408151	2486	Mx4rv8z0PJwpEbGdrcN5Y29ycA				an atomizer to spray paint by means of compressed air	base
aircraft	02686568	Aircraft	=		Aircraft	Q11436	3395	Mx4rvViuUJwpEbGdrcN5Y29ycA				a vehicle that can fly	base
aircraft-wing	04592741	WingDevice	+			Q20078304						one of the horizontal airfoils on either side of the fuselage of an airplane	base
airfare	13308336	CurrencyMeasure	+									the fare charged for traveling by airplane	economics
airlift	00316594	Transportation	+			Q256905		Mx4rlhfe2MsSEdmAAAACs6hRjg				transportation of people or goods by air (especially when other means of access are unavai	economics
airline	02690081	Airline	=	schema:Airline	Airline	Q46970		Mx4rvViq7pwpEbGdrcN5Y29ycA				a commercial enterprise that provides scheduled flights for passengers	base
airplane	02691156	Airplane	=		Airplane	Q197		Mx4rvViCi5wpEbGdrcN5Y29ycA				"an aircraft that has a fixed wing and is powered by propellers or jets; ""the flight was de"	base
airport	02692232	Airport	=	schema:Airport	Airport	Q1248784						an airfield equipped with control tower and hangars as well as accommodations for passenge	base
aisle	02694045	LandTransitway	+			Q939723		Mx4rwP1KR5wpEbGdrcN5Y29ycA				part of a church divided laterally from the nave proper by rows of pillars or columns	base
alarm	02694426	SecurityAlarm	+									a device that signals the occurrence of some undesirable event	base
alarm-clock	02694662	AlarmClock	=			Q212758	4546	Mx4r9gzS1MJsEdmAAACQJw5drg				a clock that wakes a sleeper at some preset time	base
album	02695079	Book	+			Q1173065						a book of blank pages with pockets or envelopes; for organizing photographs or stamp colle	base
alcohol	07884567	AlcoholicBeverage	+		Alcohol	Q154		Mx4rvVim-JwpEbGdrcN5Y29ycA				"a liquor or brew containing alcohol as the active agent; ""alcohol (or drink) ruined him"""	base
aleatory-contract	06522119	Contract	+			Q2377677						a contract whose performance by one party depends on the occurrence of an uncertain contin	economics
algorithmic-trading						Q139445							economics
alimony	13283620	Giving	+									court-ordered support paid by one spouse to another after they are separated	base
alliance	13792183	Relation	+		Alliance	Q878249		Mx4r-GjensiWEdmAAAACs6hRjg				"a connection based on kinship or marriage or common interest; ""the shifting alliances with"	base
allotment	13289467	Entity	+					Mx4rrgDAIK6SQdiUL5E1hbfyaw				a share set aside for a specific purpose	base
allowance	13286254	Entity	+			Q2364815		Mx4r1wuYRkPeQdmNxIu5Qhs3SQ				"an amount allowed or granted (as during a given period); ""travel allowance""; ""my weekly al"	base
ally	08305942	Nation	+									a friendly nation	base
aloofness	07505871	PsychologicalAttribute	+									"indifference by personal withdrawal; ""emotional distance"""	base
altar	02699494	Artifact	+		Altar	Q101687		Mx4rvViUsJwpEbGdrcN5Y29ycA				a raised structure on which gifts or sacrifices to a god are made	base
altimeter	02700258	Altimeter	=			Q216197	4022	Mx4rv1FPCpwpEbGdrcN5Y29ycA				an instrument that measures the height above ground; used in navigation	base
altitude	05131647	AltitudeMeasure	=									"elevation especially above sea level or above the earth's surface; ""the altitude gave her "	base
aluminum	14627820	Aluminum	=			Q663						a silvery ductile metallic element found primarily in bauxite	base
alumnus	09786338	SocialRole	+			Q508719						a person who has received a degree from a school (high school or college or university)	base
amateur	09786585	SubjectiveAssessmentAttribute	=			Q455595		Mx8NhB4rwP1IC5wpEbGdrcN5Y29ycB4rvsaaeJwpEbGdrcN5Y29ycB4rsCN6vMCfEdmAAACQJw5drh4rHIBS0h_TEdaAAABQ2rksLw				someone who pursues a study or sport as a pastime	base
ambiance	14524849	SubjectiveAssessmentAttribute	=									"a particular environment or surrounding influence; ""there was an atmosphere of excitement"""	base
ambiguity	04825114	Attribute	+			Q1140419						unclearness by virtue of having more than one meaning	base
ambition	04836268	PsychologicalAttribute	+									a strong drive for success	base
ambulance	02701002	Ambulance	+			Q180481		Mx4rvViM0pwpEbGdrcN5Y29ycA				a vehicle that takes people to and from hospitals	base
amendment	06723635	Stating	+		Amendment			Mx4rxom0dBbwQdiPupwJcaCIdA				a statement that is added to or revises or improves a proposal or document (a bill or cons	base
ammonia	14743582	CompoundSubstance	+			Q25385701	6795	Mx4rv1v9spwpEbGdrcN5Y29ycA				a pungent gas compounded of nitrogen and hydrogen (NH3)	base
ammunition	02703275	Bullet	=		Ammunition	Q185785	781	Mx8Ngh4rwP1535wpEbGdrcN5Y29ycB4rwQB61JwpEbGdrcN5Y29ycA				projectiles to be fired from a gun	base
amortization	01121070	Buying	+									payment of an obligation in a series of installments or transfers	economics
amphetamine	02704153	Stimulant	+			Q179452		Mx4rwP1bk5wpEbGdrcN5Y29ycA				a central nervous system stimulant that increases energy and decreases appetite; used to t	base
amphibian	01627424	Amphibian	=			Q10908		Mx4rvVjgJJwpEbGdrcN5Y29ycA				cold-blooded vertebrate typically living on land but breeding in water; aquatic larvae und	base
analogue	04746430	SubjectiveAssessmentAttribute	+									something having the property of being analogous to something else	base
analogy	05780339	Reasoning	+			Q185816						an inference that if things agree in some respects they probably agree in others	base
analyst	09790278	Position	+					Mx4rvViq2JwpEbGdrcN5Y29ycA				a licensed practitioner of psychoanalysis	base
analytical-review	13411785	Procedure	+									an auditing procedure based on ratios among accounts and tries to identify significant cha	economics
ancestor	09792555	BiologicalAttribute	+			Q402152						someone from whom you are descended (but usually more remote than a grandparent)	base
anchor	02709367	Anchor	=		Anchor	Q168432	3189					a mechanical device that prevents a vessel from moving	base
anchor-chain	02709637	AttachingDevice	+				3452					the chain or rope that attaches an anchor to a vessel	base
anchorage-fee	13320691	ChargingAFee	+									a fee for anchoring	economics
anemometer	02710429	Device	+			Q175029	500058					a gauge for recording the speed and direction of wind	base
angel	09538915	Angel	=		Angel	Q235113		Mx4rwQBmFJwpEbGdrcN5Y29ycA				spiritual being attendant upon God	base
angel-investor						Q778274							economics
anger	07516354	Anger	=			Q79871		Mx4rvVjESJwpEbGdrcN5Y29ycA				a strong emotion; a feeling that is oriented toward some real or supposed grievance	base
angle	13887509	TwoDimensionalAngle	=			Q11352						the space between two lines or planes that intersect; the inclination of one line to anoth	base
animal	00015388	Animal	=			Q729	1a					a living organism characterized by voluntary movement	base
animal-pack	07994941	GroupOfAnimals	+			Q1758639						a group of hunting animals	base
ankle	05578442	Ankle	+			Q168002		Mx4rvVi-R5wpEbGdrcN5Y29ycA				a gliding joint between the distal ends of the tibia and fibula and the proximal end of th	base
anklet	02713097	ArtWork	+			Q1478508	189					an ornament worn around the ankle	base
annex	02713594	Room	+					Mx4rly8RpiqlQdiS787W5uNgVg				an addition that extends a main building	base
anniversary	15249799	Day	+		Anniversary	Q1062856						the date on which an event occurred in some previous year (or the celebration of it)	base
annotation	06763273	Text	+			Q857525		Mx4rvVjSCJwpEbGdrcN5Y29ycA				"a comment or instruction (usually added); ""his notes were appended at the end of the artic"	base
announcement	06726158	Disseminating	+			Q1572600						"a formal public statement; ""the government made an announcement about changes in the drug "	base
annuity	13294503	Annuity	=			Q215579		Mx4rYyequEPuQdmWNuUgYPJi4A				"income from capital investment paid in a series of regular payments; ""his retirement fund "	economics
annuity-in-advance	13294763	Annuity	+									an annuity paid in a series of more or less equal payments at the beginning of equally spa	economics
answer	07200527	Answering	=	schema:Answer		Q1920566						the speech act of replying to a question	base
answering-machine	02714751	AudioRecorder	+				266	Mx4rvVjLQZwpEbGdrcN5Y29ycA				an electronic device that answers the telephone and records messages	base
ant	02219486	AntInsect	+			Q7386		Mx4rvVjecpwpEbGdrcN5Y29ycA				social insect living in organized colonies; characteristically the males and fertile queen	base
antacid	14778019	Antacid	=			Q274083		Mx4rwP1Y15wpEbGdrcN5Y29ycA				an agent that counteracts or neutralizes acidity (especially in the stomach)	base
antenna	02715229	Antenna	+			Q131214	1718	Mx4rvVjSAZwpEbGdrcN5Y29ycA				an electrical device that sends or receives radio or television signals	base
anteroom	02715513	Room	+			Q240854						a large entrance or reception room or area	base
anti-money-laundering						Q2007303							economics
anticipation	07511080	EmotionalState	+			Q255266						an expectation	base
antihistamine	02720725	Antihistamine	=			Q324089		Mx4rwP1Z_ZwpEbGdrcN5Y29ycA				a medicine used to treat allergies and hypersensitive reactions and colds; works by counte	base
anvil	02725872	Device	+			Q104363	1169	Mx4rvuY_pJwpEbGdrcN5Y29ycA				a heavy block of iron or steel on which hot metals are shaped by hammering	base
anxiety	14374432	Anxiety	=			Q154430						(psychiatry) a relatively permanent state of worry and nervousness occurring in a variety 	base
apartment	02726305	ApartmentUnit	=	schema:Apartment	Apartment	Q188507		Mx4rvVixF5wpEbGdrcN5Y29ycA				a suite of rooms usually on one floor of an apartment house	base
apathy	07483622	PsychologicalAttribute	+			Q309406						an absence of emotion or enthusiasm	base
apology	06633363	Expressing	+			Q273668						"an expression of regret at having caused trouble for someone; ""he wrote a letter of apolog"	base
apparatus	02727825	Device	+			Q620681						equipment designed to serve a specific function	base
apparel	02728440	Clothing	+				166a					"clothing in general; ""she was refined in her choice of apparel""; ""he always bought his clo"	base
appeal	04687333	SubjectiveAssessmentAttribute	+			Q329777						"attractiveness that interests or pleases or stimulates; ""his smile was part of his appeal "	base
appearance	04673965	SubjectiveAssessmentAttribute	+					Mx4rwJZJIZwpEbGdrcN5Y29ycA				outward or visible aspect of a person or thing	base
appendix	05537576	BodyPart	+			Q9656		Mx4rPXNN8iQNQdeZzd0BRieWGw				a vestigial process that extends from the lower end of the cecum and that resembles a smal	base
appetite	07485626	PsychologicalAttribute	+			Q28578		Mx4r0wITiCzsQdiQ-51ndcJW8w				"a feeling of craving something; ""an appetite for life""; ""the object of life is to satisfy "	base
apple	07739125	Apple	=			Q89	6566	Mx8Ngh4rvVipdpwpEbGdrcN5Y29ycB4rvVjBnZwpEbGdrcN5Y29ycA				fruit with red or yellow or green skin and sweet to tart crisp whitish flesh	base
apple-butter	07642742	PreparedFood	+			Q259550	6204					thick dark spicy puree of apples	base
appliance	02729965	Device	+			Q339084						a device or control that is very useful for a particular job	base
applicant	09607280	SocialRole	+					Mx4rZisceCthQdiJGZT_4gMiZg				a person who requests or seeks something such as assistance or employment or admission	base
application	06570110	ComputerProgram	+			Q166142		Mx4rvViM8ZwpEbGdrcN5Y29ycA				a program that gives a computer instructions that provide the user with tools to accomplis	base
applique	02730437	ArtWork	+			Q621642	6955a					a decorative design made of one material sewn over another	base
appointment	00586105	Declaring	+					Mx4rvVieKpwpEbGdrcN5Y29ycA				"the job to which you are (or hope to be) appointed; ""he applied for an appointment in the "	base
appraisal	05733583	Comparing	+					Mx4rvWotk5wpEbGdrcN5Y29ycA				the classification of someone or something with respect to its worth	base
appraisal-report	06528783	Certificate	+					Mx4rwOD_GpwpEbGdrcN5Y29ycA				a document appraising the value of something (as for insurance or taxation)	base
apricot	07750872	FruitOrVegetable	+			Q3733836	6567	Mx8Ngh4rvVipdpwpEbGdrcN5Y29ycB4rv1OrXCulEduAAAAOpmP6tw				downy yellow to rosy-colored fruit resembling a small peach	base
apron	02730930	Apron	+			Q273831	639	Mx4rvVirR5wpEbGdrcN5Y29ycA				a garment of cloth or leather or plastic that is tied about the waist and worn to protect 	base
aquarium	02732072	FishTank	=	schema:Aquarium	Aquarium	Q45782	505303a					a tank or pool or bowl filled with water for keeping live fish and underwater animals	base
arachnid	01769347	Arachnid	=			Q1358		Mx4rvVifK5wpEbGdrcN5Y29ycA				air-breathing arthropods characterized by simple eyes and four pairs of legs	base
arbitrage	01093965	FinancialTransaction	+			Q273088		Mx4rA9XaZE2mQdmTqJJLRKEDKg				a kind of hedged investment meant to capture slight differences in price; when there is a 	economics
arbitrage-pricing-theory						Q629941							economics
arch	02734217	StationaryArtifact	+		Arch	Q12277		Mx4rero7lCTVQdeAWbti1baqSw				"a passageway under a curved masonry construction; ""they built a triumphal arch to memorial"	base
architect	09805475	Designer	=			Q42973		Mx4rwQxF25wpEbGdrcN5Y29ycA				someone who creates plans to be used in making something (such as buildings)	base
architecture	06123363	Architecture	=		Architecture	Q12271		Mx8Ngh4rwQrxJ5wpEbGdrcN5Y29ycB4rvVjNP5wpEbGdrcN5Y29ycA				the discipline dealing with the principles of design and construction and ornamentation of	base
archive	02735086	EducationalOrganization	+			Q166118		Mx8Ngh4rwP1_U5wpEbGdrcN5Y29ycB4rvVj2rJwpEbGdrcN5Y29ycA				a depository containing historical records and documents	base
ardor	07481375	EmotionalState	+									"feelings of great warmth and intensity; ""he spoke with great ardor"""	base
arena	08497107	StationaryArtifact	+		Arena							the central area of an ancient Roman amphitheater where contests and spectacles were held;	base
argosy	08386280	TransportationDevice	+									one or more large merchant ships	economics
argument	07140978	Debating	=		Argument	Q179875						"a discussion in which reasons are advanced for and against some proposition or proposal; """	base
argumentation	05773049	Reasoning	+									a course of reasoning aimed at demonstrating a truth or falsehood; the methodical process 	base
arm	05563770	Arm	=			Q43471		Mx4rvVjp5ZwpEbGdrcN5Y29ycA				a human limb; technically the part of the superior limb between the shoulder and the elbow	base
armchair	02738535	Chair	+					Mx4rvVii15wpEbGdrcN5Y29ycA				chair with a support on each side for arms	base
armoire	02739550	Artifact	+			Q106106	4063a	Mx4rvVjoeZwpEbGdrcN5Y29ycA				a large wardrobe or cabinet; originally used for storing weapons	base
army	08191230	Army	+		Army							a permanent organization of the military land forces of a nation or state	base
army-division	08213205	MilitaryOrganization	+					Mx4rcmh5hJmhEdaAAAACs1uxFw				"an army unit large enough to sustain combat; ""two infantry divisions were held in reserve"""	base
arrangement-scheme	05728678	SpatialRelation	=									"an arrangement scheme; ""the awkward design of the keyboard made operation difficult""; ""it "	base
arrears	13397443	CurrencyMeasure	+			Q2406150						an unpaid overdue debt	economics
arrow	02742753	ArrowProjectile	=			Q45922	3533a	Mx4rvViIy5wpEbGdrcN5Y29ycA				a projectile with a straight thin shaft and an arrowhead on one end and stabilizing vanes 	base
art					Art	Q735	505370a						base
art-dealer	09810983	SkilledOccupation	+			Q173950						a dealer in works of art requiring esthetic evaluation	economics
artichoke	07718747	FruitOrVegetable	+			Q23041430	6570	Mx4rumqDzitgQdiL1LEyEC84-w				a thistlelike flower head with edible fleshy leaves and heart	base
article	06268096	Report	=	schema:Article	Article	Q191067		Mx4rwPkghJwpEbGdrcN5Y29ycA				nonfictional prose forming an independent part of a publication	base
articles-of-agreement	06526486	Contract	+									a contract between crew and captain of a ship	economics
articulation	05595083	BodyJoint	+			Q9644						(anatomy) the point of connection between two bones or elements of a skeleton (especially 	base
artifact	00021939	Artifact	=			Q8205328		Mx4rvVkH_ZwpEbGdrcN5Y29ycA				a man-made object taken as a whole	base
artillery-shell	04190464	Grenade	+					Mx4rvvM2ZJwpEbGdrcN5Y29ycA				ammunition consisting of a cylindrical metal casing containing an explosive charge and a p	base
artisan's-lien	13401261	Obligation	+									lien permitting an artisan to retain possession of a piece of work until has been paid for	economics
artist	09812338	Artist	=			Q483501		Mx4rwMcZI5wpEbGdrcN5Y29ycA				a person whose creative work shows sensitivity and imagination	base
artistic-creation	00933420	ArtWork	+			Q735						"the creation of beautiful or significant things; ""art does not need to be innovative to be"	base
ash	14769160	Substance	+			Q152079						the residue that remains when something is burned	base
ash-grey	04962062	GrayColor	+			Q317802						a light shade of grey	base
ashtray	02747802	Device	+			Q214488	4082	Mx4rvexb15wpEbGdrcN5Y29ycA				a receptacle for the ash from smokers' cigars or cigarettes	base
asian-option						Q728255							economics
ask-price						Q914232							economics
asking-price	13304009	CurrencyMeasure	+									the price at which something is offered for sale	economics
asparagus	07719213	FruitOrVegetable	+			Q23041045	6568	Mx4r0y_gB_dlROyjnZpa6YafHQ				edible young shoots of the asparagus plant	base
aspect	05850624	Attribute	+									"a distinct feature or element in a problem; ""he studied every facet of the question"""	base
aspiration	07484547	PsychologicalAttribute	+									"a cherished desire; ""his ambition is to own his own business"""	base
aspirin	02748618	BiologicallyActiveSubstance	+			Q18216						the acetylated derivative of salicylic acid; used as an analgesic anti-inflammatory drug (	base
assault	00767826	ViolentContest	+		Assault	Q2911369						a threatened or attempted physical attack by someone who appears to be able to cause bodil	base
assembly-hall	03478907	Room	+		Assembly_hall	Q1940809						"a large room for gatherings or entertainment; ""lecture hall""; ""pool hall"""	base
assertion	06729499	Stating	+			Q741248						a declaration that is made emphatically (as if no supporting evidence were necessary)	base
asset	05154517	PropertyFn	+			Q4808785						a useful or valuable quality	base
asset-allocation						Q462748							economics
asset-backed-security						Q1139122		Mx4rTJt4FV9cR1uR0okdHuA8ig					economics
asset-class						Q557715							economics
asset-management						Q14864997							economics
asset-realization	01119620	Selling	+									a sale in order to obtain money (as a sale of stock or a sale of the estate of a bankrupt 	economics
assignment	00796586	IntentionalProcess	+			Q5165674						an undertaking that you have been assigned to do (as by an instructor)	base
assimilation	13434878	SocialInteraction	+			Q741773						the social process of absorbing one cultural group into harmony with another	base
assist	01207609	Cooperation	+									the activity of contributing to the fulfillment of a need or furtherance of an effort or p	base
assistant	09815790	Human	+			Q2070313		Mx4rQlXXKHAvEduAAAACs2IKfQ				a person who contributes to the fulfillment of a need or furtherance of an effort or purpo	base
association	08049401	Organization	=					Mx4rwH-3XJwpEbGdrcN5Y29ycA				"a formal organization of people or groups of people; ""he joined the Modern Language Associ"	base
assurance	07227406	Committing	+									"a statement intended to inspire confidence; ""the President's assurances were not respected"	base
assurance-insurance	13345286	Obligation	+									a British term for some kinds of insurance	economics
asterisk	06828389	Character	+									a star-shaped character * used in printing	base
astronomy	06095022	Astronomy	=		Astronomy	Q333						the branch of physics that studies celestial bodies and the universe as a whole	base
athlete	09820263	FootballerSoccer	=		Athlete	Q2066131		Mx4rvVi--5wpEbGdrcN5Y29ycA				a person trained to compete in sports	base
atmosphere	09210604	Atmosphere	=		Atmosphere	Q8104		Mx4rvVjVGpwpEbGdrcN5Y29ycA				the envelope of gases surrounding any celestial body	base
