name	issue	ids
chain.group	name collision with 'chain' — (business) a number of similar establishments (stores or res	08057816
challenge.state	"name collision with 'challenge' — a demanding or stimulating situation; ""they reacted irration"	13932948
change.possession	name collision with 'change' — money received in return for its equivalent in a larger deno	13387479
character.state	"name collision with 'character' — good repute; ""he is a man of character"""	14438693
electric-charge	name collision with 'charge' — the quantity of unbalanced electricity in a body (either pos	11435028
chart.communication	name collision with 'chart' — a visual display of information	06999802
chit	"name collision with 'check' — the bill in a restaurant; ""he asked the waiter for the check"	06517942
bank-check	"name collision with 'check' — a written order directing a bank to pay money; ""he paid all "	13381734
crisp	name collision with 'chip' — a thin crisp slice of potato fried in deep fat	07712559
club.artifact	name collision with 'club' — a playing card in the minor suit that has one or more black 	03053788
social-club	"name collision with 'club' — a formal association of people with similar interests; ""he j"	08227214
column.group	"name collision with 'column' — a vertical array of numbers or other information; ""he added "	08433575
bid	name collision with 'command' — an authoritative direction or instruction to do something	07168131
troupe	name collision with 'company' — organization of performers and associated personnel (especia	08187033
companionship	"name collision with 'company' — the state of being with someone; ""he missed their company""; "	13929588
engrossment	name collision with 'concentration' — complete attention; intense mental effort	05704266
concern.cognition	name collision with 'concern' — something that interests you because it is important or affe	05670710
concern.feeling	"name collision with 'concern' — a feeling of sympathy for someone or something; ""She felt st"	07504841
condition.state	"name collision with 'condition' — a state at a particular time; ""a condition (or state) of dis"	13920835
conductor.substance	name collision with 'conductor' — a substance that readily conducts e.g. electricity and heat	14821043
conflict.state	name collision with 'conflict' — a state of opposition between persons or ideas or interests;	13980845
connection.person	name collision with 'connection' — (usually plural) a person who is influential and to whom you	09956147
connectedness	"name collision with 'connection' — the state of being connected; ""the connection between church"	14419164
consideration.cognition	name collision with 'consideration' — the process of giving careful thought to something	05784831
middleman	name collision with 'contact' — a person who is in a position to give you special assistance	09960117
contest.act	name collision with 'contest' — a struggle between rivals	01168961
linguistic-context	name collision with 'context' — discourse that surrounds a language unit and helps to determ	06284898
rural-area	"name collision with 'country' — an area outside of cities and towns; ""his poetry celebrated "	08644722
course-of-instruction	"name collision with 'course' — education imparted in a series of lessons or meetings; ""he t"	00884466
tribunal	name collision with 'court' — an assembly (including one or more judges) to conduct judici	08329453
royal-court	name collision with 'court' — the sovereign and his advisers who are the governing power o	08051946
insurance-coverage	name collision with 'coverage' — the total amount and type of insurance carried	13344664
craftsmanship	name collision with 'craft' — skill in an occupation or trade	05638063
collapse	name collision with 'crash' — a sudden large decline of business or the prices of stocks (	07477945
cream.food	name collision with 'cream' — the part of milk containing the butterfat	07847198
deferred-payment	name collision with 'credit' — arrangement for deferred payment for goods and services	13374281
credit.possession	name collision with 'credit' — money available for a client to borrow	13378518
culture.cognition	name collision with 'culture' — the attitudes and behavior that are characteristic of a part	06194409
civilisation	"name collision with 'culture' — a particular society at a particular time and place; ""early "	08287844
cupful	"name collision with 'cup' — the quantity a cup will hold; ""he drank a cup of coffee""; ""h"	13766733
curved-shape	name collision with 'curve' — the trace of a point whose direction of motion changes	13867641
cut.possession	"name collision with 'cut' — a share of the profits; ""everyone got a cut of the earnings"""	13289159
gash	"name collision with 'cut' — a wound made by cutting; ""he put a bandage over the cut"""	14287113
engagement	"name collision with 'date' — a meeting arranged in advance; ""she asked how to avoid kissi"	08385009
escort	"name collision with 'date' — a participant in a date; ""his date never stopped talking"""	09992538
day-of-the-month	"name collision with 'date' — the specified day of the month; ""what is the date today?"""	15159583
radioactive-decay	name collision with 'decay' — the spontaneous disintegration of a radioactive substance al	13456899
degree.attribute	"name collision with 'degree' — the seriousness of something (e.g., a burn or crime); ""murde"	05094565
degree.quantity	"name collision with 'degree' — a unit of temperature on a specified scale; ""the game was pl"	13714184
demand.process	"name collision with 'demand' — the ability and desire to purchase goods and services; ""the "	13461162
demo	"name collision with 'demonstration' — a visual presentation showing how something works; ""the lect"	06879180
line-of-descent	name collision with 'descent' — the kinship relation between an individual and the individua	13813042
dialog	name collision with 'dialogue' — a conversation between two persons	07136206
music-director	name collision with 'conductor' — the person who leads a musical group	09952539
dish-aerial	name collision with 'dish' — directional antenna consisting of a parabolic reflector for 	03207305
aloofness	"name collision with 'distance' — indifference by personal withdrawal; ""emotional distance"""	07505871
dr.	name collision with 'doctor' — a person who holds Ph.D. degree (or the equivalent) from an 	10021892
stunt-man	"name collision with 'double' — a stand-in for movie stars to perform dangerous stunts; ""his"	10666846
incertitude	name collision with 'doubt' — the state of being unsure of something	05698247
draught	name collision with 'draft' — a current of air (usually coming into a chimney or room or v	11522448
aspiration	"name collision with 'ambition' — a cherished desire; ""his ambition is to own his own business"	07484547
drift.process	name collision with 'drift' — the gradual departure from an intended course due to externa	13469674
drinking	"name collision with 'drink' — the act of drinking alcoholic beverages to excess; ""drink wa"	00748515
drive.attribute	"name collision with 'drive' — the trait of being highly motivated; ""his drive and energy e"	04835724
barrel.shape	name collision with 'barrel' — a bulging cylindrical shape; hollow with flat ends	13901211
tariff	"name collision with 'duty' — a government tax on imports or exports; ""they signed a treat"	13315999
eagle.communication	"name collision with 'eagle' — an emblem representing power; ""the Roman eagle"""	06881563
due-east	name collision with 'east' — the cardinal compass point that is at 90 degrees	13832355
economic-system	name collision with 'economy' — the system of production and distribution and consumption	08366753
edge.attribute	"name collision with 'edge' — a slight competitive advantage; ""he had an edge on the compe"	05158857
education.cognition	"name collision with 'education' — knowledge acquired by learning and instruction; ""it was clea"	05984287
estimation	"name collision with 'estimate' — the respect with which a person is held; ""they had a high es"	06207029
administrator.person	name collision with 'administrator' — someone who manages a government agency or department	09770472
anticipation.state	name collision with 'anticipation' — anticipating with confidence of fulfillment	14486122
extension.time	name collision with 'extension' — a mutually agreed delay in the date set for the completion o	15272382
failure.state	"name collision with 'failure' — lack of success; ""he felt that his entire life had been a fa"	14477877
bankruptcy.state	"name collision with 'bankruptcy' — inability to discharge all your debts as they come due; ""the"	14478433
declivity	name collision with 'descent' — a downward slope or bend	09265620
family-line	"name collision with 'family' — people descended from a common ancestor; ""his family has liv"	07970721
feature.cognition	"name collision with 'feature' — a prominent attribute or aspect of something; ""the map showe"	05849789
file-cabinet	name collision with 'file' — office furniture consisting of a container for keeping paper	03337140
data-file	name collision with 'file' — a set of related records (either written or electronic) kept	06508816
single-file	name collision with 'file' — a line of persons or things ranged one behind the other	08428756
film.artifact	"name collision with 'film' — a thin coating or layer; ""the table was covered with a film "	03338648
photographic-film	name collision with 'film' — photographic material consisting of a base of celluloid cove	03338821
celluloid	"name collision with 'film' — a medium that disseminates moving pictures; ""theater pieces "	06262567
flak	"name collision with 'fire' — intense adverse criticism; ""Clinton directed his fire at the"	06711159
flame	name collision with 'fire' — the process of combustion of inflammable materials producing	13480848
fish.food	"name collision with 'fish' — the flesh of fish used as food; ""in Japan most fish is eaten"	07775375
flight-of-stairs	name collision with 'flight' — a stairway (set of steps) between one floor or landing and t	03363059
ft	name collision with 'foot' — a linear unit of length equal to 12 inches or a third of a y	13650045
shape	"name collision with 'form' — a perceptual structure; ""the composition presents problems f"	05930736
variant	name collision with 'form' — (biology) a group of organisms within a species that differ 	08111157
luck.phenomenon	name collision with 'luck' — an unknown and unpredictable phenomenon that leads to a favo	11418460
destiny	name collision with 'fortune' — your overall circumstances or condition in life (including e	14473222
foundation.relation	"name collision with 'foundation' — the basis on which something is grounded; ""there is little f"	13790712
acquaintance.person	"name collision with 'acquaintance' — a person with whom you are acquainted; ""I have trouble remem"	09763784
front.phenomenon	name collision with 'front' — (meteorology) the atmospheric phenomenon created at the boun	11460488
frustration.feeling	"name collision with 'frustration' — a feeling of annoyance at being hindered or criticized; ""her"	07518663
social-occasion	"name collision with 'affair' — a vaguely specified social event; ""the party was quite an af"	07447261
service-department	name collision with 'garage' — a repair shop where cars and trucks are serviced and repaire	03416640
good-will	"name collision with 'grace' — a disposition to kindness and compassion; ""the victor's grac"	04640356
grain.object	"name collision with 'grain' — a relatively small granular particle of a substance; ""a grai"	09290777
traction	name collision with 'grip' — the friction between a body and the surface on which it move	11460281
growth.group	"name collision with 'growth' — vegetation that has grown; ""a growth of trees""; ""the only gr"	08438067
growth.state	name collision with 'growth' — (pathology) an abnormal proliferation of tissue (as in a tum	14234074
guard.person	name collision with 'guard' — a person who keeps watch over something or someone	10150071
manus	"name collision with 'hand' — the (prehensile) extremity of the superior limb; ""he had the"	05564590
musical-harmony	name collision with 'harmony' — the structure of music with respect to the composition and p	07027180
caput	name collision with 'head' — the upper part of the human body or the front part of the bo	05538625
chief	"name collision with 'head' — a person who is in charge; ""the head of the whole operation"""	10162991
health.state	"name collision with 'health' — the general condition of body and mind; ""his delicate health"	13923779
ticker	name collision with 'heart' — the hollow muscular organ located behind the sternum and bet	05388805
bosom	"name collision with 'heart' — the locus of feelings and intuitions; ""in your heart you kno"	05919263
heart.shape	name collision with 'heart' — a plane figure with rounded sides curving inward at the top 	13865904
assist	name collision with 'aid' — the activity of contributing to the fulfillment of a need or	01207609
hemisphere.location	name collision with 'hemisphere' — half of the terrestrial globe	08583095
grinder	name collision with 'bomber' — a large sandwich made of a long crusty roll split lengthwise	07697825
chronicle	"name collision with 'history' — a record or narrative description of past events; ""a history"	06514093
history.time	"name collision with 'history' — the aggregate of past events; ""a critical time in the school"	15121406
honour	name collision with 'honor' — the state of being honored	14436875
time-of-day	"name collision with 'hour' — clock time; ""the hour is getting late"""	15228378
house.group	"name collision with 'house' — an official assembly having legislative powers; ""a bicameral"	08163025
identicalness	"name collision with 'identity' — exact sameness; ""they shared an identity of interests"""	04743024
semblance	name collision with 'illusion' — an erroneous mental representation	05939636
mental-image	"name collision with 'image' — an iconic mental representation; ""her imagination forced ima"	05928118
look-alike	name collision with 'double' — someone who closely resembles a famous person (especially an	10027246
wallop	"name collision with 'impact' — a forceful consequence; a strong effect; ""the book had an im"	11414411
increment	"name collision with 'increase' — the amount by which something increases; ""they proposed an i"	05108947
influence.phenomenon	"name collision with 'influence' — the effect of one thing (or person) on another; ""the influen"	11414608
info	name collision with 'information' — a message received and understood	06634376
innovation	name collision with 'invention' — a creation (a new device or process) resulting from study an	03582658
perceptiveness	name collision with 'insight' — a feeling of understanding	07513247
intelligence-service	name collision with 'intelligence' — a unit responsible for gathering and interpreting informatio	08339454
intro	name collision with 'presentation' — formally making a person known to another or to the public	07217349
articulation	name collision with 'joint' — (anatomy) the point of connection between two bones or eleme	05595083
judgement	name collision with 'judgment' — (law) the determination by a court of competent jurisdiction	01187810
judging	name collision with 'judgment' — the cognitive process of reaching a decision or drawing conc	05789432
tonality	name collision with 'key' — any of 24 major or minor diatonic scales that provide the to	06863751
king.artifact	name collision with 'king' — one of the four playing cards in a deck bearing the picture 	03618219
male-monarch	name collision with 'king' — a male sovereign; ruler of a kingdom	10231515
labour	name collision with 'labor' — a social class comprising those who do manual labor or work 	08180639
landed-estate	name collision with 'estate' — extensive landed property (especially in the country) retain	13246662
realm	"name collision with 'kingdom' — a domain in which something is dominant; ""the untroubled kin"	14514805
natural-law	name collision with 'law' — a rule or body of rules of conduct inherent in human nature 	05870916
jurisprudence	"name collision with 'law' — the collection of rules imposed by authority; ""civilization "	08441203
lead.attribute	"name collision with 'lead' — an advantage held by a competitor in a race; ""he took the le"	05157143
pb	name collision with 'lead' — a soft heavy toxic malleable metallic element; bluish white 	14643467
lemon.food	name collision with 'lemon' — yellow oval fruit with juicy acidic flesh	07749582
duration.attribute	"name collision with 'duration' — continuance in time; ""the ceremony was of short duration""; """	05051249
letter-of-the-alphabet	name collision with 'letter' — the conventional characters of the alphabet used to represen	06828818
storey	name collision with 'floor' — a structure consisting of a room or set of rooms at a single	03365991
tier	"name collision with 'grade' — a relative position or degree of value in a graded group; ""l"	14428160
limit.quantity	name collision with 'limit' — the greatest amount of something that is possible or allowed	13758296
dividing-line	"name collision with 'line' — a conceptual separation or distinction; ""there is a narrow l"	05748786
line.group	"name collision with 'line' — a formation of people or things one behind another; ""the lin"	08430203
literature.communication	name collision with 'literature' — creative writing of recognized artistic value	06364641
curl	name collision with 'lock' — a strand or cluster of hair	05257737
logic.cognition	name collision with 'logic' — the principles that guide reasoning within a given field or 	05871618
loss.possession	"name collision with 'loss' — something that is lost; ""the car was a total loss""; ""loss of"	13327676
clod	"name collision with 'ball' — a compact mass; ""a ball of mud caught him on the shoulder"""	07961016
legal-age	name collision with 'majority' — the age at which persons are considered competent to manage 	15152062
manager	name collision with 'director' — someone who controls resources and expenditures	10014939
manufacture	name collision with 'fabrication' — the act of making something (a product) from raw materials; 	00924825
marble.substance	name collision with 'marble' — a hard crystalline metamorphic rock that takes a high polish	14947807
mar	name collision with 'march' — the month following February and preceding April	15210870
married-couple	"name collision with 'marriage' — two people who are married to each other; ""his second marria"	07989373
laurel-wreath	name collision with 'decoration' — an award for winning a championship or commemorating some ot	06706676
practice-of-medicine	name collision with 'medicine' — the learned profession that is mastered by graduate training	00612160
medication	name collision with 'medicine' — (medicine) something that treats or prevents or alleviates t	03740161
spiritualist	name collision with 'medium' — someone who serves as an intermediary between the living and	10306279
medium.state	name collision with 'medium' — a state that is intermediate between extremes; a middle posi	13920169
coming-together	"name collision with 'meeting' — the social act of assembling for some common purpose; ""his m"	01230965
encounter	"name collision with 'meeting' — a casual or unexpected convergence; ""he still remembers thei"	07414922
commemoration	name collision with 'memorial' — a recognition of meritorious service	06688522
retention	"name collision with 'memory' — the power of retaining and recalling past experience; ""he ha"	05651399
memory.cognition	"name collision with 'memory' — something that is remembered; ""search as he would, the memor"	05935060
computer-menu	name collision with 'menu' — (computer science) a list of options available to a computer	06493392
menu.food	name collision with 'menu' — the dishes making up a meal	07565083
intellect	"name collision with 'mind' — knowledge and intellectual ability; ""he reads to improve his"	05618849
theoretical-account	"name collision with 'model' — a hypothetical description of a complex entity or process; """	05890249
poser	name collision with 'model' — a person who poses for a photographer or painter or sculptor	10324560
role-model	"name collision with 'model' — someone worthy of imitation; ""every child needs a role model"	10324851
mole.attribute	name collision with 'mole' — a small congenital pigmented spot on the skin	04693804
momentum.attribute	"name collision with 'momentum' — the product of a body's mass and its velocity; ""the momentum"	05029137
money.possession	"name collision with 'money' — wealth reckoned in terms of money; ""all his money is in real"	13250542
motivation.state	"name collision with 'motivation' — the condition of being motivated; ""his motivation was at a h"	14578471
computer-mouse	name collision with 'mouse' — a hand-operated electronic device that controls the coordina	03793489
cause	name collision with 'campaign' — a series of actions advancing a principle or tending toward 	00798245
mushroom.plant	name collision with 'mushroom' — any of various fleshy fungi of the subdivision Basidiomycota	12997919
nail.body	name collision with 'nail' — horny plate covering and protecting part of the dorsal surfa	05581693
name.state	"name collision with 'name' — a person's reputation; ""he wanted to protect his good name"""	14438788
nature.object	name collision with 'nature' — the natural physical world including plants and animals and 	09366762
nature.person	name collision with 'nature' — a causal agent creating and controlling things in the univer	09503682
web	"name collision with 'network' — an interconnected system of things or people; ""he owned a ne"	08434259
annotation	"name collision with 'note' — a comment or instruction (usually added); ""his notes were ap"	06763273
short-letter	"name collision with 'note' — a short personal letter; ""drop me a line when you get there"""	06626286
musical-note	name collision with 'note' — a notation representing the pitch and duration of a musical 	06865345
notice.communication	name collision with 'notice' — advance notification (usually written) of the intention to w	07212612
responsibility	name collision with 'duty' — the social force that binds you to the courses of action dem	01129920
military-control	name collision with 'occupation' — the control of a country by military forces of a foreign pow	01133106
military-operation	name collision with 'operation' — activity by a military or naval force (as a maneuver or camp	00955060
functioning	"name collision with 'operation' — process or manner of functioning or operating; ""the power of"	13525549
opposite	"name collision with 'reverse' — a relation of direct opposition; ""we thought Sue was older t"	13858604
foe	name collision with 'enemy' — an armed adversary (especially a member of an opposing milit	10055847
option.possession	name collision with 'option' — the right to buy or sell property at an agreed price; the ri	13241600
orange.food	name collision with 'orange' — round yellow to orange fruit of any of several citrus trees	07747607
organ.body	name collision with 'organ' — a fully differentiated structural and functional unit in an 	05297523
lineation	name collision with 'outline' — the line that appears to bound an object	08612786
painfulness	name collision with 'pain' — emotional distress; a fundamental feeling that people try to	07494363
pain-in-the-neck	"name collision with 'pain' — a bothersome annoying person; ""that kid is a terrible pain"""	10391513
cooking-pan	name collision with 'pan' — cooking utensil consisting of a wide metal vessel	03880531
paper.substance	name collision with 'paper' — a material made of cellulose pulp derived mainly from wood o	14974264
political-party	"name collision with 'party' — an organization to gain political power; ""in 1992 Perot trie"	08256968
route	name collision with 'path' — an established line of travel or access	08616311
peace.state	name collision with 'peace' — the state prevailing during the absence of war	13970236
carrying-out	name collision with 'performance' — the act of performing; of doing something successfully; usin	00097504
period.time	name collision with 'period' — the interval taken to complete one cycle of a regularly repe	15289779
pig	name collision with 'hog' — a person regarded as greedy and pig-like	10179649
cavity	"name collision with 'pit' — a sizeable hole (usually in the ground); ""they dug a pit to "	09393108
rake	"name collision with 'pitch' — degree of deviation from a horizontal plane; ""the roof had a"	05069199
design.cognition	"name collision with 'design' — an arrangement scheme; ""the awkward design of the keyboard m"	05728678
works	"name collision with 'plant' — buildings for carrying on industrial labor; ""they built a la"	03956922
dramatic-play	name collision with 'play' — a dramatic work intended for performance by actors on a stag	07007945
secret-plan	name collision with 'plot' — a secret scheme to do something (especially something underh	05907682
plot.communication	"name collision with 'plot' — the story that is told in a novel or play or movie etc.; ""th"	06373314
item	name collision with 'detail' — an isolated fact that is considered separately from the whol	05817845
dot	"name collision with 'point' — a very small circular shape; ""a row of points""; ""draw lines "	13911872
opinion-poll	name collision with 'poll' — an inquiry into public opinion conducted by interviewing a r	05800998
locating	name collision with 'placement' — the act of putting something in a certain place	01051331
mail-service	name collision with 'mail' — the system whereby messages are transmitted via the post off	06264398
flowerpot	name collision with 'pot' — a container in which plants are cultivated	03991062
lb	"name collision with 'pound' — 16 ounces avoirdupois; ""he got a hernia when he tried to lif"	13720096
practice-session	"name collision with 'exercise' — systematic training by multiple repetitions; ""practice makes"	00894552
preoccupation.cognition	name collision with 'preoccupation' — an idea that preoccupies the mind and holds the attention	05836921
nowadays	name collision with 'present' — the period of time that is happening now; any continuous str	15119536
presidentship	"name collision with 'presidency' — the office and function of president; ""Andrew Jackson expand"	00596807
chairman	name collision with 'president' — the officer who presides at the meetings of an organization;	10468962
pressure-level	name collision with 'pressure' — the force applied to a unit area of surface; measured in pas	11495041
probability.attribute	name collision with 'probability' — the quality of being probable; a probable event or the most 	04756172
trouble.cognition	"name collision with 'trouble' — a source of difficulty; ""one trouble after another delayed t"	05687338
process	name collision with 'procedure' — a particular course of action intended to achieve a result; 	01023820
product.phenomenon	name collision with 'product' — a consequence of someone's efforts or of a particular set of	11415842
programme	"name collision with 'broadcast' — a radio or television show; ""did you see his program last ni"	06619428
computer-program	name collision with 'program' — (computer science) a sequence of instructions that a compute	06568978
projection.communication	name collision with 'projection' — the projection of an image from a film onto a screen	06887599
promotional-material	name collision with 'promotion' — a message issued in behalf of some product or cause or idea 	07247071
belongings	name collision with 'property' — something owned; any tangible or intangible possession that 	13244109
proportion.attribute	"name collision with 'proportion' — magnitude or extent; ""a building of vast proportions"""	05091194
proportion.relation	name collision with 'proportion' — the quotient obtained when the magnitude of a part is divide	13815742
protection.state	"name collision with 'protection' — the condition of being protected; ""they were huddled togethe"	14539960
quarter.time	"name collision with 'quarter' — a fourth part of a year; three months; ""unemployment fell du"	15206590
race.group	name collision with 'race' — people who are believed to belong to the same genetic stock;	07967982
railcar	"name collision with 'car' — a wheeled vehicle adapted to the rails of railroad; ""three c"	02959942
mountain-range	"name collision with 'range' — a series of hills or mountains; ""the valley was between two "	09403734
reaction.phenomenon	"name collision with 'reaction' — a response that reveals a person's feelings or attitude; ""he"	11417129
acknowledgment	"name collision with 'recognition' — the state or quality of being recognized or acknowledged; ""t"	14411981
record.quantity	"name collision with 'record' — the number of wins versus losses and ties a team has had; ""a"	13596986
diminution	name collision with 'decrease' — the act of decreasing or reducing something	00351638
remark.cognition	"name collision with 'remark' — explicit notice; ""it passed without remark"""	05710573
news-report	"name collision with 'report' — a short account of the news; ""the report of his speech""; ""th"	06681551
backlog	name collision with 'reserve' — something kept back or saved for future use or a special pur	13368052
surrender	name collision with 'resignation' — acceptance of despair	07542433
reply	name collision with 'answer' — a statement (either spoken or written) that is made to reply	06746005
response	"name collision with 'reception' — the manner in which something is greeted; ""she did not expec"	06630852
residual	"name collision with 'remainder' — something left after other parts have been taken away; ""ther"	13810818
restraint.cognition	"name collision with 'restraint' — a rule or condition that limits freedom; ""legal restraints"";"	06247701
homecoming	"name collision with 'return' — a coming to or returning home; ""on his return from Australia"	00051192
critique	name collision with 'review' — an essay or article that gives a critical evaluation (as of 	06410391
right.location	name collision with 'right' — location near or direction toward the right side; i.e. the s	08625073
right-wing	name collision with 'right' — those who support political or social or economic conservati	08416652
ring.artifact	name collision with 'ring' — a platform usually marked off by ropes in which contestants 	04092959
ring.attribute	"name collision with 'ring' — a characteristic sound; ""it has the ring of sincerity"""	04981658
theatrical-role	"name collision with 'character' — an actor's portrayal of someone in a play; ""she played the p"	05929008
roster	"name collision with 'roll' — a list of names; ""his name was struck off the rolls"""	06495000
rotary-motion	"name collision with 'rotation' — the act of rotating as if on an axis; ""the rotation of the d"	00342028
royalty.possession	name collision with 'royalty' — payment to the holder of a patent or copyright or resource f	13257982
rule.cognition	name collision with 'rule' — a principle or condition that customarily governs behavior; 	05846054
normal	"name collision with 'convention' — something regarded as a normative example; ""the convention o"	05667613
principle.cognition	name collision with 'principle' — a rule or law concerning a natural phenomenon or the functio	05874232
rule.cognition.2	name collision with 'rule' — (mathematics) a standard procedure for solving a class of ma	05846932
rule.communication	name collision with 'rule' — directions that define the way a game or sport is to be cond	06788897
rule.time	"name collision with 'rule' — the duration of a monarch's or government's power; ""during t"	15295416
sacrifice.possession	name collision with 'sacrifice' — a loss entailed by giving up or selling something at less th	13328073
cut-rate-sale	name collision with 'sale' — an occasion (usually brief) for buying at specially reduced 	01117723
weighing-machine	name collision with 'scale' — a measuring instrument for weighing; shows amount of mass	04141975
scale-of-measurement	"name collision with 'scale' — an ordered reference standard; ""judging on a scale of 1 to 1"	13850304
shot	name collision with 'scene' — a consecutive series of pictures that constitutes a unit of 	06614729
schoolhouse	"name collision with 'school' — a building where young people receive education; ""the school"	04146050
silver-screen	name collision with 'screen' — a white or silvered surface where pictures can be projected 	04152829
ocean.quantity	name collision with 'ocean' — anything apparently limitless in quantity or volume	13776971
sec	name collision with 'second' — 1/60 of a minute; the basic unit of time adopted under the S	15235126
signified	name collision with 'sense' — the meaning of a word or expression; the way in which a word	06602472
judgment-of-conviction	name collision with 'conviction' — (criminal law) a final judgment of guilty in a criminal case	01189282
religious-service	"name collision with 'service' — the act of public worship following prescribed rules; ""the S"	01032040
closure	name collision with 'settlement' — something settled or resolved; the outcome of decision makin	05789089
shaft.artifact	name collision with 'shaft' — a long vertical passage sunk into the earth, as for a mine o	04182514
disgrace	"name collision with 'shame' — a state of dishonor; ""one mistake brought shame to all his f"	14440137
piece-of-paper	name collision with 'sheet' — paper used for writing or printing	06255777
shell.artifact	name collision with 'shell' — ammunition consisting of a cylindrical metal casing containi	04190464
eggshell	name collision with 'shell' — the exterior covering of a bird's egg	09432430
shock	name collision with 'daze' — the feeling of distress and disbelief that you have when som	07510625
shoulder.body	name collision with 'shoulder' — the part of the body between the neck and the upper arm	05548840
rain-shower	"name collision with 'shower' — a brief period of precipitation; ""the game was interrupted b"	11502497
side.location	"name collision with 'side' — a surface forming part of the outside of an object; ""he exam"	08510666
rootage	name collision with 'beginning' — the place where something begins, where it springs into bein	08507558
